,id,origin,destination,distance,hard_cap
0,e_0,v_19,v_15,25,1
1,e_1,v_6,v_20,1,1
2,e_2,v_4,v_7,10,5
3,e_3,v_9,v_18,15,2
4,e_4,v_11,v_13,7,4
5,e_5,v_7,v_18,9,4
6,e_6,v_10,v_20,2,4
7,e_7,v_5,v_17,10,3
8,e_8,v_4,v_2,24,3
9,e_9,v_11,v_18,6,1
10,e_10,v_14,v_13,21,1
11,e_11,v_9,v_11,20,5
12,e_12,v_20,v_4,11,1
13,e_13,v_19,v_6,1,1
14,e_14,v_16,v_14,6,4
15,e_15,v_10,v_6,3,5
16,e_16,v_19,v_7,15,1
17,e_17,v_15,v_5,12,5
18,e_18,v_17,v_10,12,2
19,e_19,v_8,v_1,8,4
20,e_20,v_9,v_1,3,1
21,e_21,v_6,v_4,11,2
22,e_22,v_13,v_11,7,5
23,e_23,v_1,v_7,15,5
24,e_24,v_8,v_4,7,3
25,e_25,v_19,v_17,10,5
26,e_26,v_11,v_15,3,2
27,e_27,v_17,v_15,21,3
28,e_28,v_1,v_2,25,3
29,e_29,v_4,v_14,12,3
30,e_30,v_14,v_6,5,2
31,e_31,v_15,v_11,3,5
32,e_32,v_12,v_15,11,5
33,e_33,v_5,v_2,13,2
34,e_34,v_1,v_4,11,3
35,e_35,v_3,v_12,18,1
36,e_36,v_1,v_19,1,2
37,e_37,v_1,v_17,11,5
38,e_38,v_12,v_19,25,1
39,e_39,v_12,v_20,25,1
40,e_40,v_4,v_12,28,5
41,e_41,v_16,v_17,14,2
42,e_42,v_20,v_12,25,2
43,e_43,v_14,v_7,12,4
44,e_44,v_3,v_19,8,1
