,id,origin,destination
0,k_0,v_2,v_6
1,k_1,v_19,v_3
2,k_2,v_5,v_6
3,k_3,v_14,v_20
4,k_4,v_12,v_2
5,k_5,v_17,v_13
6,k_6,v_8,v_9
7,k_7,v_8,v_4
8,k_8,v_16,v_5
9,k_9,v_13,v_20
10,k_10,v_17,v_19
11,k_11,v_19,v_3
12,k_12,v_11,v_5
13,k_13,v_14,v_17
14,k_14,v_19,v_16
15,k_15,v_19,v_1
16,k_16,v_19,v_15
17,k_17,v_8,v_5
18,k_18,v_11,v_5
19,k_19,v_14,v_1
20,k_20,v_11,v_8
21,k_21,v_9,v_2
22,k_22,v_20,v_5
23,k_23,v_18,v_13
24,k_24,v_17,v_8
25,k_25,v_11,v_4
26,k_26,v_10,v_9
27,k_27,v_10,v_8
28,k_28,v_19,v_16
29,k_29,v_17,v_16
30,k_30,v_5,v_17
31,k_31,v_7,v_9
32,k_32,v_2,v_1
33,k_33,v_20,v_6
34,k_34,v_19,v_18
35,k_35,v_12,v_18
36,k_36,v_8,v_5
37,k_37,v_7,v_9
38,k_38,v_17,v_18
39,k_39,v_17,v_10
40,k_40,v_4,v_6
41,k_41,v_13,v_8
42,k_42,v_6,v_3
43,k_43,v_2,v_11
44,k_44,v_18,v_12
45,k_45,v_16,v_5
46,k_46,v_13,v_20
47,k_47,v_17,v_2
48,k_48,v_12,v_16
49,k_49,v_10,v_7
50,k_50,v_12,v_9
51,k_51,v_14,v_20
52,k_52,v_3,v_4
53,k_53,v_4,v_12
54,k_54,v_3,v_16
55,k_55,v_19,v_15
56,k_56,v_5,v_1
57,k_57,v_12,v_10
58,k_58,v_14,v_3
59,k_59,v_17,v_15
60,k_60,v_2,v_14
61,k_61,v_14,v_10
62,k_62,v_17,v_11
63,k_63,v_7,v_16
64,k_64,v_13,v_15
65,k_65,v_1,v_5
66,k_66,v_5,v_8
67,k_67,v_7,v_3
68,k_68,v_13,v_8
69,k_69,v_6,v_9
70,k_70,v_9,v_7
71,k_71,v_16,v_13
72,k_72,v_8,v_3
73,k_73,v_13,v_15
74,k_74,v_8,v_6
75,k_75,v_20,v_14
76,k_76,v_20,v_11
77,k_77,v_1,v_4
78,k_78,v_16,v_4
79,k_79,v_4,v_17
80,k_80,v_20,v_13
81,k_81,v_2,v_12
82,k_82,v_6,v_8
83,k_83,v_11,v_12
84,k_84,v_2,v_7
85,k_85,v_5,v_14
86,k_86,v_15,v_19
87,k_87,v_3,v_18
88,k_88,v_7,v_1
89,k_89,v_11,v_10
90,k_90,v_9,v_7
91,k_91,v_5,v_4
92,k_92,v_6,v_4
93,k_93,v_20,v_15
94,k_94,v_3,v_11
95,k_95,v_15,v_6
96,k_96,v_2,v_8
97,k_97,v_19,v_15
98,k_98,v_13,v_5
99,k_99,v_4,v_1
100,k_100,v_3,v_6
101,k_101,v_15,v_8
102,k_102,v_11,v_19
103,k_103,v_9,v_20
104,k_104,v_15,v_6
105,k_105,v_7,v_6
106,k_106,v_15,v_6
107,k_107,v_14,v_6
108,k_108,v_10,v_14
109,k_109,v_8,v_1
110,k_110,v_4,v_13
111,k_111,v_6,v_18
112,k_112,v_6,v_14
113,k_113,v_6,v_16
114,k_114,v_2,v_11
115,k_115,v_8,v_9
116,k_116,v_5,v_6
117,k_117,v_20,v_8
118,k_118,v_3,v_19
119,k_119,v_1,v_8
120,k_120,v_8,v_5
121,k_121,v_19,v_6
122,k_122,v_5,v_2
123,k_123,v_10,v_1
124,k_124,v_18,v_1
125,k_125,v_10,v_20
126,k_126,v_8,v_19
127,k_127,v_8,v_9
128,k_128,v_13,v_20
129,k_129,v_2,v_13
130,k_130,v_15,v_12
131,k_131,v_16,v_7
132,k_132,v_1,v_18
133,k_133,v_5,v_2
134,k_134,v_13,v_9
135,k_135,v_6,v_19
136,k_136,v_2,v_8
137,k_137,v_15,v_8
138,k_138,v_17,v_10
139,k_139,v_11,v_4
140,k_140,v_11,v_19
141,k_141,v_2,v_16
142,k_142,v_5,v_13
143,k_143,v_6,v_1
144,k_144,v_11,v_4
145,k_145,v_14,v_11
146,k_146,v_4,v_6
147,k_147,v_3,v_1
148,k_148,v_10,v_12
149,k_149,v_2,v_17
150,k_150,v_20,v_16
151,k_151,v_17,v_11
152,k_152,v_17,v_14
153,k_153,v_8,v_15
154,k_154,v_7,v_1
155,k_155,v_7,v_9
156,k_156,v_3,v_6
157,k_157,v_10,v_17
158,k_158,v_11,v_9
159,k_159,v_18,v_3
160,k_160,v_18,v_15
161,k_161,v_1,v_19
162,k_162,v_13,v_14
163,k_163,v_6,v_1
164,k_164,v_13,v_12
165,k_165,v_14,v_18
166,k_166,v_2,v_9
167,k_167,v_7,v_3
168,k_168,v_7,v_3
169,k_169,v_2,v_17
170,k_170,v_12,v_3
171,k_171,v_15,v_12
172,k_172,v_5,v_17
173,k_173,v_10,v_16
174,k_174,v_4,v_7
175,k_175,v_9,v_10
176,k_176,v_10,v_3
177,k_177,v_7,v_5
178,k_178,v_3,v_2
179,k_179,v_20,v_12
180,k_180,v_19,v_13
181,k_181,v_17,v_9
182,k_182,v_7,v_13
183,k_183,v_4,v_1
184,k_184,v_15,v_8
185,k_185,v_20,v_19
186,k_186,v_13,v_12
187,k_187,v_13,v_15
188,k_188,v_11,v_18
189,k_189,v_15,v_13
190,k_190,v_18,v_2
191,k_191,v_9,v_8
192,k_192,v_17,v_20
193,k_193,v_8,v_6
194,k_194,v_15,v_9
195,k_195,v_12,v_17
196,k_196,v_13,v_2
197,k_197,v_13,v_14
198,k_198,v_20,v_9
199,k_199,v_19,v_9
