,id,origin,destination,distance,arc_cap
0,e_0,v_17,v_19,10,1
1,e_1,v_20,v_10,2,2
2,e_2,v_20,v_6,1,3
3,e_3,v_14,v_6,5,3
4,e_4,v_2,v_11,4,3
5,e_5,v_4,v_11,20,3
6,e_6,v_1,v_14,5,7
7,e_7,v_3,v_10,9,1
8,e_8,v_4,v_16,16,3
9,e_9,v_6,v_10,3,8
10,e_10,v_14,v_18,12,8
11,e_11,v_17,v_5,10,1
12,e_12,v_7,v_14,12,3
13,e_13,v_2,v_13,4,8
14,e_14,v_15,v_18,9,5
15,e_15,v_9,v_14,4,8
16,e_16,v_8,v_9,6,2
17,e_17,v_16,v_3,4,7
18,e_18,v_11,v_19,22,4
19,e_19,v_12,v_9,24,4
20,e_20,v_5,v_12,17,4
21,e_21,v_3,v_4,12,8
22,e_22,v_10,v_1,2,1
23,e_23,v_19,v_18,17,6
24,e_24,v_16,v_7,11,1
25,e_25,v_4,v_9,10,8
26,e_26,v_5,v_15,12,1
27,e_27,v_9,v_7,13,2
28,e_28,v_19,v_16,11,6
29,e_29,v_18,v_8,13,8
30,e_30,v_6,v_19,1,4
31,e_31,v_8,v_12,22,6
32,e_32,v_10,v_11,23,6
33,e_33,v_10,v_18,18,4
34,e_34,v_2,v_16,16,5
35,e_35,v_1,v_4,11,3
36,e_36,v_14,v_12,20,8
37,e_37,v_12,v_13,7,6
38,e_38,v_3,v_13,19,4
39,e_39,v_17,v_6,10,8
40,e_40,v_1,v_10,2,5
41,e_41,v_12,v_6,24,4
42,e_42,v_12,v_10,25,4
43,e_43,v_11,v_6,21,4
44,e_44,v_7,v_9,13,7
45,e_45,v_19,v_4,11,2
46,e_46,v_13,v_9,25,2
47,e_47,v_16,v_9,10,3
48,e_48,v_4,v_6,11,2
49,e_49,v_12,v_18,11,4
