,id,origin,destination,distance,arc_cap
0,e_0,v_2,v_18,9,5
1,e_1,v_7,v_15,14,3
2,e_2,v_19,v_15,25,2
3,e_3,v_20,v_15,25,1
4,e_4,v_17,v_9,9,8
5,e_5,v_8,v_4,7,3
6,e_6,v_18,v_17,16,3
7,e_7,v_17,v_19,10,7
8,e_8,v_10,v_1,2,6
9,e_9,v_7,v_6,14,2
10,e_10,v_18,v_16,7,8
11,e_11,v_15,v_18,9,7
12,e_12,v_16,v_14,6,2
13,e_13,v_11,v_5,9,3
14,e_14,v_12,v_2,10,7
15,e_15,v_1,v_12,25,7
16,e_16,v_2,v_6,25,5
17,e_17,v_17,v_15,21,6
18,e_18,v_11,v_7,11,8
19,e_19,v_13,v_18,10,6
20,e_20,v_5,v_4,12,8
21,e_21,v_15,v_2,2,6
22,e_22,v_19,v_18,17,4
23,e_23,v_2,v_9,24,6
24,e_24,v_15,v_9,23,6
25,e_25,v_20,v_16,11,7
26,e_26,v_20,v_9,3,1
27,e_27,v_7,v_12,19,6
28,e_28,v_14,v_16,6,5
29,e_29,v_16,v_1,11,4
30,e_30,v_2,v_19,25,1
31,e_31,v_8,v_11,16,1
32,e_32,v_4,v_7,10,7
33,e_33,v_2,v_8,20,5
34,e_34,v_7,v_20,15,4
35,e_35,v_1,v_7,15,5
36,e_36,v_13,v_1,26,3
37,e_37,v_14,v_18,12,5
38,e_38,v_15,v_19,25,5
39,e_39,v_16,v_3,4,5
40,e_40,v_11,v_19,22,1
41,e_41,v_13,v_11,7,8
42,e_42,v_9,v_8,6,6
43,e_43,v_3,v_20,8,1
44,e_44,v_4,v_10,13,8
45,e_45,v_7,v_10,17,6
46,e_46,v_8,v_6,7,1
47,e_47,v_14,v_8,6,2
48,e_48,v_12,v_6,24,3
49,e_49,v_13,v_15,5,5
50,e_50,v_18,v_10,18,1
51,e_51,v_3,v_9,6,3
52,e_52,v_7,v_16,11,7
53,e_53,v_6,v_8,7,7
54,e_54,v_2,v_10,27,1
55,e_55,v_14,v_12,20,2
56,e_56,v_7,v_1,15,2
57,e_57,v_9,v_5,12,2
58,e_58,v_1,v_2,25,1
59,e_59,v_12,v_15,11,8
60,e_60,v_6,v_10,3,7
61,e_61,v_10,v_17,12,5
62,e_62,v_17,v_10,12,7
63,e_63,v_15,v_14,20,5
64,e_64,v_19,v_1,1,7
65,e_65,v_20,v_10,2,4
66,e_66,v_8,v_9,6,6
67,e_67,v_5,v_6,14,8
68,e_68,v_8,v_10,10,1
69,e_69,v_4,v_5,12,4
70,e_70,v_3,v_11,15,5
71,e_71,v_16,v_2,16,8
72,e_72,v_16,v_12,14,5
73,e_73,v_12,v_3,18,3
74,e_74,v_11,v_3,15,7
75,e_75,v_5,v_19,14,6
76,e_76,v_4,v_9,10,3
77,e_77,v_14,v_10,7,3
78,e_78,v_16,v_19,11,5
79,e_79,v_8,v_14,6,4
80,e_80,v_9,v_6,2,8
81,e_81,v_10,v_14,7,1
82,e_82,v_17,v_2,22,7
83,e_83,v_13,v_3,19,6
84,e_84,v_15,v_13,5,5
85,e_85,v_14,v_4,12,5
86,e_86,v_17,v_8,5,1
87,e_87,v_7,v_14,12,6
88,e_88,v_1,v_3,8,2
89,e_89,v_9,v_15,23,8
90,e_90,v_19,v_20,1,8
91,e_91,v_12,v_18,11,2
92,e_92,v_15,v_4,23,6
93,e_93,v_17,v_13,25,2
94,e_94,v_3,v_6,7,4
95,e_95,v_16,v_6,10,2
96,e_96,v_12,v_19,25,8
97,e_97,v_15,v_3,18,4
98,e_98,v_1,v_20,1,8
99,e_99,v_9,v_19,3,4
