,id,origin,destination,distance,arc_cap
0,e_0,v_2,v_16,16,4
1,e_1,v_17,v_2,22,5
2,e_2,v_7,v_3,10,2
3,e_3,v_20,v_16,11,5
4,e_4,v_11,v_7,11,5
5,e_5,v_19,v_2,25,1
6,e_6,v_15,v_5,12,2
7,e_7,v_6,v_9,2,4
8,e_8,v_12,v_19,25,2
9,e_9,v_2,v_9,24,3
10,e_10,v_6,v_4,11,3
11,e_11,v_3,v_9,6,2
12,e_12,v_13,v_8,22,3
13,e_13,v_8,v_20,8,5
14,e_14,v_4,v_7,10,5
15,e_15,v_7,v_10,17,2
16,e_16,v_2,v_18,9,5
17,e_17,v_9,v_17,9,4
18,e_18,v_7,v_13,17,4
19,e_19,v_19,v_18,17,1
20,e_20,v_2,v_1,25,2
21,e_21,v_5,v_12,17,5
22,e_22,v_19,v_8,8,3
23,e_23,v_13,v_9,25,2
24,e_24,v_15,v_4,23,5
25,e_25,v_19,v_7,15,1
26,e_26,v_4,v_20,11,3
27,e_27,v_9,v_2,24,2
28,e_28,v_13,v_2,4,4
29,e_29,v_9,v_6,2,3
30,e_30,v_13,v_20,26,3
31,e_31,v_10,v_2,27,2
32,e_32,v_1,v_7,15,5
33,e_33,v_4,v_8,7,4
34,e_34,v_9,v_12,24,2
35,e_35,v_20,v_11,22,1
36,e_36,v_7,v_12,19,5
37,e_37,v_13,v_14,21,5
38,e_38,v_5,v_15,12,2
39,e_39,v_2,v_4,24,1
40,e_40,v_8,v_4,7,4
41,e_41,v_18,v_2,9,1
42,e_42,v_8,v_12,22,4
43,e_43,v_20,v_18,17,2
44,e_44,v_12,v_10,25,4
45,e_45,v_5,v_1,14,1
46,e_46,v_11,v_13,7,4
47,e_47,v_9,v_14,4,3
48,e_48,v_12,v_9,24,4
49,e_49,v_15,v_10,26,4
