,id,origin,destination
0,k_0,v_12,v_17
1,k_1,v_19,v_13
2,k_2,v_16,v_5
3,k_3,v_6,v_10
4,k_4,v_12,v_10
5,k_5,v_5,v_6
6,k_6,v_17,v_16
7,k_7,v_11,v_2
8,k_8,v_5,v_18
9,k_9,v_6,v_11
10,k_10,v_8,v_3
11,k_11,v_8,v_15
12,k_12,v_7,v_6
13,k_13,v_4,v_16
14,k_14,v_9,v_2
15,k_15,v_5,v_11
16,k_16,v_16,v_19
17,k_17,v_12,v_7
18,k_18,v_12,v_19
19,k_19,v_4,v_13
20,k_20,v_13,v_17
21,k_21,v_16,v_5
22,k_22,v_3,v_1
23,k_23,v_2,v_19
24,k_24,v_11,v_13
25,k_25,v_11,v_13
26,k_26,v_17,v_6
27,k_27,v_1,v_11
28,k_28,v_1,v_19
29,k_29,v_14,v_12
30,k_30,v_12,v_5
31,k_31,v_14,v_5
32,k_32,v_12,v_11
33,k_33,v_11,v_3
34,k_34,v_8,v_14
35,k_35,v_11,v_12
36,k_36,v_17,v_5
37,k_37,v_3,v_9
38,k_38,v_13,v_19
39,k_39,v_4,v_13
40,k_40,v_19,v_18
41,k_41,v_12,v_3
42,k_42,v_9,v_20
43,k_43,v_16,v_15
44,k_44,v_16,v_5
45,k_45,v_8,v_7
46,k_46,v_13,v_10
47,k_47,v_7,v_15
48,k_48,v_5,v_16
49,k_49,v_19,v_13
50,k_50,v_3,v_13
51,k_51,v_11,v_5
52,k_52,v_5,v_19
53,k_53,v_17,v_15
54,k_54,v_9,v_13
55,k_55,v_16,v_3
56,k_56,v_6,v_5
57,k_57,v_17,v_1
58,k_58,v_19,v_16
59,k_59,v_3,v_10
60,k_60,v_20,v_7
61,k_61,v_4,v_3
62,k_62,v_12,v_4
63,k_63,v_20,v_10
64,k_64,v_6,v_15
65,k_65,v_20,v_3
66,k_66,v_20,v_12
67,k_67,v_11,v_13
68,k_68,v_1,v_6
69,k_69,v_6,v_1
70,k_70,v_2,v_19
71,k_71,v_20,v_10
72,k_72,v_6,v_2
73,k_73,v_4,v_13
74,k_74,v_15,v_2
75,k_75,v_15,v_2
76,k_76,v_9,v_1
77,k_77,v_2,v_10
78,k_78,v_14,v_19
79,k_79,v_8,v_20
80,k_80,v_9,v_3
81,k_81,v_20,v_19
82,k_82,v_3,v_7
83,k_83,v_9,v_4
84,k_84,v_8,v_1
85,k_85,v_19,v_15
86,k_86,v_17,v_8
87,k_87,v_10,v_19
88,k_88,v_20,v_11
89,k_89,v_14,v_11
90,k_90,v_12,v_7
91,k_91,v_6,v_17
92,k_92,v_17,v_11
93,k_93,v_10,v_13
94,k_94,v_10,v_8
95,k_95,v_18,v_6
96,k_96,v_13,v_19
97,k_97,v_17,v_3
98,k_98,v_7,v_2
99,k_99,v_5,v_19
100,k_100,v_19,v_15
101,k_101,v_4,v_11
102,k_102,v_19,v_13
103,k_103,v_4,v_11
104,k_104,v_12,v_20
105,k_105,v_3,v_20
106,k_106,v_14,v_5
107,k_107,v_11,v_13
108,k_108,v_20,v_12
109,k_109,v_10,v_15
110,k_110,v_8,v_6
111,k_111,v_10,v_4
112,k_112,v_5,v_11
113,k_113,v_5,v_20
114,k_114,v_13,v_1
115,k_115,v_7,v_5
116,k_116,v_2,v_7
117,k_117,v_6,v_20
118,k_118,v_18,v_4
119,k_119,v_11,v_4
120,k_120,v_14,v_10
121,k_121,v_13,v_8
122,k_122,v_14,v_16
123,k_123,v_14,v_10
124,k_124,v_12,v_19
125,k_125,v_19,v_6
126,k_126,v_20,v_4
127,k_127,v_10,v_1
128,k_128,v_12,v_9
129,k_129,v_14,v_17
130,k_130,v_15,v_17
131,k_131,v_10,v_13
132,k_132,v_14,v_17
133,k_133,v_12,v_4
134,k_134,v_16,v_11
135,k_135,v_12,v_19
136,k_136,v_4,v_12
137,k_137,v_1,v_11
138,k_138,v_10,v_8
139,k_139,v_12,v_18
140,k_140,v_13,v_16
141,k_141,v_12,v_9
142,k_142,v_17,v_6
143,k_143,v_2,v_17
144,k_144,v_9,v_20
145,k_145,v_12,v_5
146,k_146,v_10,v_8
147,k_147,v_20,v_5
148,k_148,v_19,v_6
149,k_149,v_14,v_3
