,id,origin,destination
0,k_0,v_8,v_16
1,k_1,v_16,v_3
2,k_2,v_15,v_20
3,k_3,v_6,v_1
4,k_4,v_12,v_19
5,k_5,v_20,v_9
6,k_6,v_15,v_19
7,k_7,v_15,v_4
8,k_8,v_16,v_8
9,k_9,v_9,v_5
10,k_10,v_8,v_7
11,k_11,v_11,v_19
12,k_12,v_9,v_17
13,k_13,v_9,v_14
14,k_14,v_19,v_18
15,k_15,v_12,v_13
16,k_16,v_8,v_15
17,k_17,v_19,v_17
18,k_18,v_8,v_12
19,k_19,v_5,v_1
20,k_20,v_6,v_19
21,k_21,v_17,v_10
22,k_22,v_1,v_4
23,k_23,v_16,v_19
24,k_24,v_11,v_20
25,k_25,v_5,v_14
26,k_26,v_2,v_13
27,k_27,v_14,v_18
28,k_28,v_5,v_4
29,k_29,v_10,v_11
30,k_30,v_6,v_8
31,k_31,v_15,v_17
32,k_32,v_8,v_17
33,k_33,v_9,v_14
34,k_34,v_14,v_1
35,k_35,v_12,v_16
36,k_36,v_16,v_10
37,k_37,v_3,v_2
38,k_38,v_1,v_17
39,k_39,v_19,v_16
40,k_40,v_4,v_6
41,k_41,v_19,v_2
42,k_42,v_20,v_8
43,k_43,v_15,v_9
44,k_44,v_12,v_4
45,k_45,v_4,v_17
46,k_46,v_19,v_12
47,k_47,v_15,v_20
48,k_48,v_19,v_3
49,k_49,v_4,v_5
50,k_50,v_20,v_9
51,k_51,v_2,v_4
52,k_52,v_2,v_10
53,k_53,v_10,v_20
54,k_54,v_17,v_1
55,k_55,v_10,v_11
56,k_56,v_20,v_14
57,k_57,v_6,v_10
58,k_58,v_11,v_2
59,k_59,v_10,v_9
60,k_60,v_9,v_19
61,k_61,v_19,v_17
62,k_62,v_3,v_10
63,k_63,v_3,v_11
64,k_64,v_5,v_18
65,k_65,v_19,v_8
66,k_66,v_10,v_19
67,k_67,v_19,v_15
68,k_68,v_4,v_14
69,k_69,v_8,v_5
70,k_70,v_17,v_9
71,k_71,v_3,v_9
72,k_72,v_8,v_3
73,k_73,v_10,v_1
74,k_74,v_8,v_1
75,k_75,v_3,v_19
76,k_76,v_20,v_15
77,k_77,v_16,v_20
78,k_78,v_13,v_8
79,k_79,v_10,v_11
80,k_80,v_13,v_16
81,k_81,v_20,v_13
82,k_82,v_9,v_12
83,k_83,v_12,v_9
84,k_84,v_14,v_6
85,k_85,v_11,v_16
86,k_86,v_9,v_6
87,k_87,v_3,v_11
88,k_88,v_10,v_13
89,k_89,v_2,v_8
90,k_90,v_11,v_13
91,k_91,v_20,v_6
92,k_92,v_8,v_13
93,k_93,v_7,v_1
94,k_94,v_20,v_10
95,k_95,v_20,v_7
96,k_96,v_7,v_5
97,k_97,v_11,v_2
98,k_98,v_8,v_18
99,k_99,v_8,v_18
100,k_100,v_16,v_17
101,k_101,v_20,v_9
102,k_102,v_1,v_18
103,k_103,v_20,v_16
104,k_104,v_20,v_7
105,k_105,v_10,v_17
106,k_106,v_1,v_5
107,k_107,v_8,v_17
108,k_108,v_16,v_18
109,k_109,v_3,v_2
110,k_110,v_5,v_2
111,k_111,v_11,v_7
112,k_112,v_10,v_8
113,k_113,v_14,v_17
114,k_114,v_5,v_8
115,k_115,v_15,v_4
116,k_116,v_7,v_18
117,k_117,v_16,v_1
118,k_118,v_5,v_10
119,k_119,v_13,v_14
120,k_120,v_7,v_16
121,k_121,v_14,v_10
122,k_122,v_6,v_10
123,k_123,v_16,v_3
124,k_124,v_6,v_10
125,k_125,v_11,v_12
126,k_126,v_18,v_8
127,k_127,v_14,v_7
128,k_128,v_11,v_20
129,k_129,v_17,v_7
130,k_130,v_15,v_18
131,k_131,v_10,v_1
132,k_132,v_8,v_15
