,id,origin,destination,distance,arc_cap
0,e_0,v_3,v_18,10,2
1,e_1,v_16,v_5,9,1
2,e_2,v_12,v_13,7,2
3,e_3,v_20,v_3,8,2
4,e_4,v_17,v_4,3,3
5,e_5,v_6,v_9,2,3
6,e_6,v_10,v_7,17,1
7,e_7,v_6,v_4,11,3
8,e_8,v_6,v_7,14,3
9,e_9,v_10,v_15,26,2
10,e_10,v_3,v_2,18,3
11,e_11,v_10,v_5,16,2
12,e_12,v_10,v_1,2,1
13,e_13,v_17,v_5,10,1
14,e_14,v_2,v_5,13,2
15,e_15,v_20,v_13,26,2
16,e_16,v_7,v_1,15,2
17,e_17,v_20,v_8,8,2
18,e_18,v_18,v_13,10,1
19,e_19,v_7,v_19,15,2
20,e_20,v_10,v_17,12,3
21,e_21,v_2,v_3,18,1
22,e_22,v_12,v_8,22,2
23,e_23,v_10,v_8,10,2
24,e_24,v_19,v_8,8,2
25,e_25,v_19,v_3,8,2
26,e_26,v_6,v_11,21,1
27,e_27,v_11,v_1,22,2
28,e_28,v_17,v_18,16,3
29,e_29,v_5,v_14,10,3
30,e_30,v_19,v_18,17,3
31,e_31,v_15,v_6,24,3
32,e_32,v_10,v_14,7,1
33,e_33,v_2,v_4,24,2
34,e_34,v_13,v_9,25,2
35,e_35,v_7,v_3,10,2
36,e_36,v_7,v_18,9,2
37,e_37,v_19,v_7,15,2
38,e_38,v_9,v_15,23,3
39,e_39,v_6,v_15,24,2
40,e_40,v_20,v_7,15,1
41,e_41,v_17,v_20,11,3
42,e_42,v_17,v_3,10,1
43,e_43,v_9,v_17,9,3
44,e_44,v_18,v_1,17,3
45,e_45,v_8,v_18,13,1
46,e_46,v_18,v_11,6,1
47,e_47,v_7,v_2,14,3
48,e_48,v_4,v_15,23,1
49,e_49,v_11,v_18,6,2
