,id,origin,destination
0,k_0,v_12,v_14
1,k_1,v_13,v_1
2,k_2,v_8,v_15
3,k_3,v_10,v_14
4,k_4,v_4,v_14
5,k_5,v_3,v_19
6,k_6,v_9,v_12
7,k_7,v_4,v_13
8,k_8,v_19,v_15
9,k_9,v_14,v_6
10,k_10,v_8,v_14
11,k_11,v_2,v_1
12,k_12,v_16,v_10
13,k_13,v_6,v_2
14,k_14,v_11,v_15
15,k_15,v_7,v_4
16,k_16,v_1,v_14
17,k_17,v_16,v_1
18,k_18,v_6,v_13
19,k_19,v_20,v_17
20,k_20,v_6,v_10
21,k_21,v_13,v_5
22,k_22,v_5,v_17
23,k_23,v_2,v_11
24,k_24,v_10,v_13
25,k_25,v_14,v_17
26,k_26,v_3,v_11
27,k_27,v_3,v_13
28,k_28,v_8,v_11
29,k_29,v_9,v_3
30,k_30,v_11,v_6
31,k_31,v_20,v_13
32,k_32,v_14,v_10
33,k_33,v_11,v_5
34,k_34,v_17,v_14
35,k_35,v_10,v_11
36,k_36,v_17,v_13
37,k_37,v_11,v_18
38,k_38,v_12,v_1
39,k_39,v_13,v_1
40,k_40,v_15,v_19
41,k_41,v_16,v_5
42,k_42,v_2,v_13
43,k_43,v_6,v_7
44,k_44,v_17,v_10
45,k_45,v_14,v_16
46,k_46,v_14,v_15
47,k_47,v_4,v_14
48,k_48,v_7,v_16
49,k_49,v_2,v_8
50,k_50,v_13,v_4
51,k_51,v_10,v_15
52,k_52,v_3,v_1
53,k_53,v_20,v_18
54,k_54,v_2,v_4
55,k_55,v_18,v_2
56,k_56,v_3,v_19
57,k_57,v_3,v_19
58,k_58,v_11,v_3
59,k_59,v_16,v_13
60,k_60,v_7,v_1
61,k_61,v_11,v_16
62,k_62,v_6,v_7
63,k_63,v_2,v_20
64,k_64,v_6,v_15
65,k_65,v_9,v_15
66,k_66,v_20,v_9
67,k_67,v_20,v_13
68,k_68,v_18,v_2
69,k_69,v_15,v_8
70,k_70,v_8,v_19
71,k_71,v_16,v_17
72,k_72,v_12,v_20
73,k_73,v_12,v_18
74,k_74,v_15,v_17
75,k_75,v_1,v_2
76,k_76,v_15,v_18
77,k_77,v_7,v_3
78,k_78,v_1,v_9
79,k_79,v_15,v_9
80,k_80,v_12,v_19
81,k_81,v_17,v_19
82,k_82,v_12,v_14
83,k_83,v_2,v_4
84,k_84,v_4,v_6
85,k_85,v_18,v_4
86,k_86,v_1,v_16
87,k_87,v_17,v_3
88,k_88,v_13,v_12
89,k_89,v_15,v_17
90,k_90,v_13,v_12
91,k_91,v_15,v_12
92,k_92,v_7,v_16
93,k_93,v_19,v_4
94,k_94,v_1,v_7
95,k_95,v_11,v_5
96,k_96,v_11,v_17
97,k_97,v_17,v_14
98,k_98,v_6,v_10
99,k_99,v_17,v_2
100,k_100,v_5,v_17
101,k_101,v_4,v_2
102,k_102,v_15,v_5
103,k_103,v_6,v_4
104,k_104,v_17,v_4
105,k_105,v_15,v_1
106,k_106,v_2,v_1
107,k_107,v_9,v_17
108,k_108,v_15,v_3
109,k_109,v_1,v_3
110,k_110,v_8,v_19
111,k_111,v_8,v_20
112,k_112,v_18,v_6
113,k_113,v_5,v_20
114,k_114,v_7,v_17
115,k_115,v_1,v_15
116,k_116,v_11,v_15
117,k_117,v_9,v_20
118,k_118,v_5,v_3
119,k_119,v_20,v_7
120,k_120,v_1,v_9
121,k_121,v_7,v_18
122,k_122,v_2,v_4
123,k_123,v_2,v_14
124,k_124,v_18,v_15
125,k_125,v_1,v_19
126,k_126,v_2,v_19
127,k_127,v_19,v_13
128,k_128,v_2,v_12
129,k_129,v_16,v_20
130,k_130,v_4,v_17
131,k_131,v_20,v_8
132,k_132,v_8,v_14
133,k_133,v_1,v_17
134,k_134,v_17,v_1
135,k_135,v_13,v_10
136,k_136,v_11,v_7
137,k_137,v_2,v_15
138,k_138,v_8,v_18
139,k_139,v_6,v_16
140,k_140,v_20,v_6
141,k_141,v_14,v_16
142,k_142,v_20,v_11
143,k_143,v_6,v_4
144,k_144,v_4,v_18
145,k_145,v_17,v_12
146,k_146,v_15,v_6
147,k_147,v_6,v_12
148,k_148,v_3,v_16
149,k_149,v_6,v_17
