,id,origin,destination,distance,hard_cap
0,"e_4,4,4,2","4,4","4,2",2,1
1,"e_20,13,19,14","20,13","19,14",2,2
2,"e_12,18,12,21","12,18","12,21",3,2
3,"e_12,18,13,19","12,18","13,19",2,1
4,"e_12,18,11,20","12,18","11,20",3,1
5,"e_15,2,16,1","15,2","16,1",2,1
6,"e_10,3,9,6","10,3","9,6",4,2
7,"e_12,21,12,18","12,21","12,18",3,1
8,"e_12,21,13,19","12,21","13,19",3,2
9,"e_12,21,11,20","12,21","11,20",2,1
10,"e_13,19,12,18","13,19","12,18",2,2
11,"e_13,19,12,21","13,19","12,21",3,2
12,"e_13,19,11,20","13,19","11,20",3,1
13,"e_16,10,13,11","16,10","13,11",4,2
14,"e_4,2,4,4","4,2","4,4",2,2
15,"e_19,14,20,13","19,14","20,13",2,1
16,"e_11,20,12,18","11,20","12,18",3,1
17,"e_11,20,12,21","11,20","12,21",2,2
18,"e_11,20,13,19","11,20","13,19",3,1
19,"e_9,6,10,3","9,6","10,3",4,2
20,"e_16,1,15,2","16,1","15,2",2,2
21,"e_13,11,16,10","13,11","16,10",4,1
22,"e_4,4,9,6","4,4","9,6",7,2
23,"e_20,13,12,18","20,13","12,18",13,1
24,"e_12,18,9,6","12,18","9,6",15,1
25,"e_2,9,13,11","2,9","13,11",13,1
26,"e_24,24,12,18","24,24","12,18",18,2
27,"e_15,2,20,13","15,2","20,13",16,1
28,"e_10,3,13,11","10,3","13,11",11,1
29,"e_12,21,7,10","12,21","7,10",16,1
30,"e_13,19,15,2","13,19","15,2",19,1
31,"e_16,10,24,24","16,10","24,24",22,1
32,"e_4,2,20,13","4,2","20,13",27,2
33,"e_19,14,16,10","19,14","16,10",7,2
34,"e_11,20,9,6","11,20","9,6",16,1
35,"e_20,3,15,2","20,3","15,2",6,2
36,"e_9,6,16,10","9,6","16,10",11,1
37,"e_16,1,20,3","16,1","20,3",6,1
38,"e_13,11,4,2","13,11","4,2",18,1
39,"e_8,0,10,3","8,0","10,3",5,2
40,"e_7,10,15,2","7,10","15,2",16,2
41,"e_5,16,13,11","5,16","13,11",13,2
