,id,origin,destination,distance,hard_cap
0,"e_18,8,17,10","18,8","17,10",3,2
1,"e_11,14,10,16","11,14","10,16",3,4
2,"e_23,17,23,14","23,17","23,14",3,4
3,"e_23,14,23,17","23,14","23,17",3,2
4,"e_5,6,3,5","5,6","3,5",3,3
5,"e_17,10,18,8","17,10","18,8",3,4
6,"e_10,16,11,14","10,16","11,14",3,4
7,"e_3,5,5,6","3,5","5,6",3,1
8,"e_18,8,6,24","18,8","6,24",28,1
9,"e_18,8,2,21","18,8","2,21",29,4
10,"e_11,0,17,10","11,0","17,10",16,1
11,"e_11,0,12,5","11,0","12,5",6,2
12,"e_11,14,11,0","11,14","11,0",14,3
13,"e_23,17,2,21","23,17","2,21",25,3
14,"e_23,17,17,10","23,17","17,10",13,2
15,"e_23,14,8,13","23,14","8,13",16,3
16,"e_23,14,22,9","23,14","22,9",6,3
17,"e_17,1,10,16","17,1","10,16",22,2
18,"e_17,1,8,13","17,1","8,13",21,2
19,"e_8,13,18,8","8,13","18,8",15,4
20,"e_5,6,11,14","5,6","11,14",14,1
21,"e_5,6,9,4","5,6","9,4",6,3
22,"e_17,10,11,8","17,10","11,8",8,2
23,"e_17,10,12,5","17,10","12,5",10,1
24,"e_21,23,8,13","21,23","8,13",23,4
25,"e_9,4,8,13","9,4","8,13",10,1
26,"e_9,4,11,8","9,4","11,8",6,2
27,"e_22,9,8,13","22,9","8,13",18,1
28,"e_22,9,6,24","22,9","6,24",31,1
29,"e_0,16,10,16","0,16","10,16",10,4
30,"e_18,24,17,1","18,24","17,1",24,1
31,"e_18,24,11,0","18,24","11,0",31,2
32,"e_10,16,18,8","10,16","18,8",16,4
33,"e_12,5,11,14","12,5","11,14",10,3
34,"e_2,21,0,16","2,21","0,16",7,1
35,"e_2,21,17,1","2,21","17,1",35,1
36,"e_6,24,10,16","6,24","10,16",12,4
37,"e_3,5,11,8","3,5","11,8",11,4
38,"e_3,5,23,14","3,5","23,14",29,3
39,"e_11,8,12,5","11,8","12,5",4,1
