,id,origin,destination,distance,hard_cap
0,"e_1,21,1,18","1,21","1,18",3,1
1,"e_1,18,1,21","1,18","1,21",3,1
2,"e_6,7,7,6","6,7","7,6",2,2
3,"e_14,16,12,16","14,16","12,16",2,1
4,"e_9,15,9,17","9,15","9,17",2,2
5,"e_9,17,9,15","9,17","9,15",2,4
6,"e_12,16,14,16","12,16","14,16",2,4
7,"e_23,22,22,21","23,22","22,21",2,4
8,"e_7,6,6,7","7,6","6,7",2,3
9,"e_22,21,23,22","22,21","23,22",2,1
10,"e_24,2,12,16","24,2","12,16",26,3
11,"e_1,21,24,2","1,21","24,2",42,1
12,"e_1,18,9,21","1,18","9,21",11,3
13,"e_6,7,22,21","6,7","22,21",30,1
14,"e_14,6,9,21","14,6","9,21",20,2
15,"e_14,16,7,6","14,16","7,6",17,2
16,"e_9,21,12,16","9,21","12,16",8,1
17,"e_3,9,9,17","3,9","9,17",14,3
18,"e_13,3,11,9","13,3","11,9",8,4
19,"e_9,15,11,9","9,15","11,9",8,3
20,"e_9,17,7,6","9,17","7,6",13,4
21,"e_12,16,7,6","12,16","7,6",15,2
22,"e_23,22,9,17","23,22","9,17",19,3
23,"e_17,17,1,21","17,17","1,21",20,3
24,"e_11,9,9,17","11,9","9,17",10,1
25,"e_7,6,1,21","7,6","1,21",21,3
26,"e_22,8,9,15","22,8","9,15",20,3
27,"e_10,24,19,24","10,24","19,24",9,1
28,"e_22,21,11,9","22,21","11,9",23,2
29,"e_19,24,9,15","19,24","9,15",19,3
