,id,demand,origin,destination
0,k_0,1,"18,9","9,6"
1,k_1,1,"12,8","23,7"
2,k_2,1,"9,7","20,7"
3,k_3,1,"15,19","22,16"
4,k_4,1,"9,7","15,19"
5,k_5,1,"19,12","24,16"
6,k_6,1,"15,19","20,2"
7,k_7,1,"6,2","24,16"
8,k_8,1,"23,7","12,8"
9,k_9,1,"9,6","23,19"
10,k_10,1,"19,22","24,16"
11,k_11,1,"17,4","23,7"
12,k_12,1,"12,8","20,7"
13,k_13,1,"12,8","23,7"
14,k_14,1,"19,22","18,9"
15,k_15,1,"20,7","20,2"
16,k_16,1,"17,4","15,19"
17,k_17,1,"3,4","19,22"
18,k_18,1,"20,2","9,7"
19,k_19,1,"16,23","23,19"
20,k_20,1,"23,19","20,2"
21,k_21,1,"19,22","23,19"
22,k_22,1,"23,19","20,2"
23,k_23,1,"16,23","24,16"
24,k_24,1,"9,6","24,16"
25,k_25,1,"15,19","9,7"
26,k_26,1,"12,8","23,7"
27,k_27,1,"2,22","23,7"
28,k_28,1,"22,16","19,22"
29,k_29,1,"24,16","19,22"
30,k_30,1,"23,19","23,7"
31,k_31,1,"3,4","9,6"
32,k_32,1,"9,23","9,6"
33,k_33,1,"19,12","16,23"
34,k_34,1,"6,2","19,22"
35,k_35,1,"15,19","2,22"
36,k_36,1,"2,22","9,7"
37,k_37,1,"2,22","20,7"
38,k_38,1,"12,8","18,9"
39,k_39,1,"24,16","15,19"
40,k_40,1,"17,4","19,22"
41,k_41,1,"6,2","20,2"
42,k_42,1,"6,2","16,23"
43,k_43,1,"15,19","23,7"
44,k_44,1,"15,19","9,6"
45,k_45,1,"20,9","2,22"
46,k_46,1,"20,9","6,2"
47,k_47,1,"19,22","9,7"
48,k_48,1,"3,4","20,2"
49,k_49,1,"9,23","19,12"
50,k_50,1,"16,23","18,9"
51,k_51,1,"3,4","20,9"
52,k_52,1,"9,7","20,7"
53,k_53,1,"15,19","23,7"
54,k_54,1,"20,7","19,22"
55,k_55,1,"19,12","9,6"
56,k_56,1,"20,7","2,22"
57,k_57,1,"20,7","19,22"
58,k_58,1,"20,7","20,2"
59,k_59,1,"2,22","18,9"
60,k_60,1,"20,9","9,6"
61,k_61,1,"20,7","6,2"
62,k_62,1,"9,23","20,7"
63,k_63,1,"9,7","15,19"
64,k_64,1,"20,9","9,6"
65,k_65,1,"24,16","15,19"
66,k_66,1,"2,22","24,16"
67,k_67,1,"24,16","19,22"
68,k_68,1,"9,6","19,22"
69,k_69,1,"17,4","20,7"
70,k_70,1,"18,9","12,8"
71,k_71,1,"20,2","9,7"
72,k_72,1,"23,19","9,6"
73,k_73,1,"2,22","23,7"
74,k_74,1,"3,4","19,12"
75,k_75,1,"23,7","19,22"
76,k_76,1,"17,4","22,16"
77,k_77,1,"9,23","12,8"
78,k_78,1,"15,19","12,8"
79,k_79,1,"24,16","20,7"
80,k_80,1,"20,7","6,2"
81,k_81,1,"3,4","18,9"
82,k_82,1,"22,16","19,22"
83,k_83,1,"23,7","6,2"
84,k_84,1,"9,6","24,16"
85,k_85,1,"23,7","2,22"
86,k_86,1,"23,19","15,19"
87,k_87,1,"20,7","20,2"
88,k_88,1,"2,22","20,9"
89,k_89,1,"9,6","2,22"
90,k_90,1,"19,12","22,16"
91,k_91,1,"20,9","2,22"
92,k_92,1,"16,23","24,16"
93,k_93,1,"19,12","9,7"
94,k_94,1,"9,7","15,19"
95,k_95,1,"16,23","20,7"
96,k_96,1,"16,23","9,6"
97,k_97,1,"19,22","9,7"
98,k_98,1,"18,9","6,2"
99,k_99,1,"3,4","23,19"
100,k_100,1,"3,4","20,9"
101,k_101,1,"18,9","16,23"
102,k_102,1,"18,9","9,7"
103,k_103,1,"6,2","20,7"
104,k_104,1,"23,19","19,12"
105,k_105,1,"23,7","2,22"
106,k_106,1,"18,9","23,19"
107,k_107,1,"15,19","23,19"
108,k_108,1,"15,19","16,23"
109,k_109,1,"16,23","23,7"
110,k_110,1,"12,8","18,9"
111,k_111,1,"9,23","19,12"
112,k_112,1,"9,23","9,6"
113,k_113,1,"12,8","20,7"
114,k_114,1,"9,7","19,22"
115,k_115,1,"15,19","22,16"
116,k_116,1,"6,2","22,16"
117,k_117,1,"23,19","19,12"
118,k_118,1,"22,16","15,19"
119,k_119,1,"20,2","12,8"
120,k_120,1,"23,7","15,19"
121,k_121,1,"24,16","20,9"
122,k_122,1,"17,4","16,23"
123,k_123,1,"18,9","19,22"
124,k_124,1,"19,22","22,16"
125,k_125,1,"9,7","22,16"
126,k_126,1,"17,4","15,19"
127,k_127,1,"17,4","19,22"
128,k_128,1,"3,4","20,9"
129,k_129,1,"18,9","2,22"
130,k_130,1,"23,7","9,6"
131,k_131,1,"9,7","23,7"
132,k_132,1,"23,7","20,2"
133,k_133,1,"22,16","20,7"
134,k_134,1,"17,4","16,23"
135,k_135,1,"20,7","6,2"
136,k_136,1,"19,12","12,8"
137,k_137,1,"17,4","19,22"
138,k_138,1,"20,7","19,22"
139,k_139,1,"24,16","20,9"
140,k_140,1,"18,9","6,2"
141,k_141,1,"22,16","18,9"
142,k_142,1,"9,23","12,8"
143,k_143,1,"9,6","16,23"
144,k_144,1,"12,8","20,9"
145,k_145,1,"12,8","6,2"
146,k_146,1,"18,9","12,8"
147,k_147,1,"12,8","18,9"
148,k_148,1,"9,6","19,22"
149,k_149,1,"20,2","9,7"
150,k_150,1,"6,2","19,12"
151,k_151,1,"23,19","20,7"
152,k_152,1,"9,7","24,16"
153,k_153,1,"9,7","15,19"
154,k_154,1,"19,12","6,2"
155,k_155,1,"12,8","20,9"
156,k_156,1,"23,19","20,9"
157,k_157,1,"6,2","18,9"
158,k_158,1,"16,23","22,16"
159,k_159,1,"6,2","20,9"
160,k_160,1,"3,4","20,9"
161,k_161,1,"19,22","20,9"
162,k_162,1,"22,16","15,19"
163,k_163,1,"17,4","18,9"
164,k_164,1,"19,22","23,19"
165,k_165,1,"18,9","12,8"
166,k_166,1,"9,23","20,9"
