,id,origin,destination,distance,hard_cap
0,"e_16,23,19,22","16,23","19,22",4,1
1,"e_19,22,16,23","19,22","16,23",4,3
2,"e_12,8,9,7","12,8","9,7",4,3
3,"e_9,7,12,8","9,7","12,8",4,1
4,"e_9,7,9,6","9,7","9,6",1,1
5,"e_19,12,18,9","19,12","18,9",4,1
6,"e_19,12,20,9","19,12","20,9",4,3
7,"e_23,7,20,7","23,7","20,7",3,3
8,"e_22,16,24,16","22,16","24,16",2,2
9,"e_22,16,23,19","22,16","23,19",4,2
10,"e_24,16,22,16","24,16","22,16",2,3
11,"e_24,16,23,19","24,16","23,19",4,1
12,"e_23,19,22,16","23,19","22,16",4,2
13,"e_23,19,24,16","23,19","24,16",4,2
14,"e_18,9,19,12","18,9","19,12",4,2
15,"e_18,9,20,7","18,9","20,7",4,3
16,"e_18,9,20,9","18,9","20,9",2,1
17,"e_9,6,9,7","9,6","9,7",1,3
18,"e_20,7,23,7","20,7","23,7",3,1
19,"e_20,7,18,9","20,7","18,9",4,3
20,"e_20,7,20,9","20,7","20,9",2,1
21,"e_20,9,19,12","20,9","19,12",4,2
22,"e_20,9,18,9","20,9","18,9",2,2
23,"e_20,9,20,7","20,9","20,7",2,2
24,"e_17,4,9,6","17,4","9,6",10,3
25,"e_15,19,18,9","15,19","18,9",13,3
26,"e_3,4,6,2","3,4","6,2",5,1
27,"e_16,23,6,2","16,23","6,2",31,1
28,"e_19,22,6,2","19,22","6,2",33,1
29,"e_6,2,12,8","6,2","12,8",12,2
30,"e_12,8,23,19","12,8","23,19",22,2
31,"e_9,7,19,12","9,7","19,12",15,1
32,"e_19,12,20,2","19,12","20,2",11,1
33,"e_23,7,18,9","23,7","18,9",7,3
34,"e_22,16,9,7","22,16","9,7",22,1
35,"e_24,16,12,8","24,16","12,8",20,1
36,"e_23,19,2,22","23,19","2,22",24,1
37,"e_18,9,15,19","18,9","15,19",13,2
38,"e_20,2,19,22","20,2","19,22",21,3
39,"e_9,6,20,9","9,6","20,9",14,2
40,"e_2,22,6,2","2,22","6,2",24,2
41,"e_20,7,24,16","20,7","24,16",13,2
42,"e_20,9,15,19","20,9","15,19",15,2
43,"e_9,23,16,23","9,23","16,23",7,1
