,id,origin,destination,distance,hard_cap
0,e_0,v_10,v_13,28,3
1,e_1,v_14,v_4,12,2
2,e_2,v_13,v_20,26,1
3,e_3,v_5,v_19,14,3
4,e_4,v_19,v_18,17,3
5,e_5,v_11,v_18,6,1
6,e_6,v_20,v_10,2,3
7,e_7,v_10,v_8,10,3
8,e_8,v_4,v_19,11,2
9,e_9,v_12,v_18,11,2
10,e_10,v_18,v_14,12,2
11,e_11,v_20,v_4,11,1
12,e_12,v_7,v_5,3,2
13,e_13,v_20,v_11,22,3
14,e_14,v_16,v_5,9,3
15,e_15,v_7,v_3,10,1
16,e_16,v_12,v_17,26,2
17,e_17,v_12,v_3,18,3
18,e_18,v_13,v_10,28,1
19,e_19,v_1,v_4,11,2
20,e_20,v_17,v_14,10,3
21,e_21,v_8,v_17,5,2
22,e_22,v_8,v_18,13,1
23,e_23,v_10,v_16,12,3
24,e_24,v_3,v_2,18,1
25,e_25,v_1,v_3,8,3
26,e_26,v_6,v_2,25,1
27,e_27,v_6,v_18,16,3
28,e_28,v_3,v_11,15,1
29,e_29,v_16,v_11,13,2
30,e_30,v_11,v_13,7,1
31,e_31,v_13,v_12,7,2
32,e_32,v_11,v_19,22,2
33,e_33,v_17,v_10,12,2
34,e_34,v_18,v_11,6,2
35,e_35,v_12,v_6,24,3
36,e_36,v_8,v_15,19,1
37,e_37,v_19,v_12,25,1
38,e_38,v_7,v_15,14,3
39,e_39,v_5,v_12,17,2
40,e_40,v_20,v_1,1,2
41,e_41,v_6,v_17,10,3
42,e_42,v_1,v_17,11,1
43,e_43,v_8,v_1,8,2
44,e_44,v_5,v_7,3,3
45,e_45,v_17,v_13,25,1
46,e_46,v_10,v_2,27,2
47,e_47,v_4,v_10,13,3
48,e_48,v_18,v_5,7,3
49,e_49,v_20,v_8,8,2
50,e_50,v_19,v_6,1,1
51,e_51,v_10,v_12,25,1
52,e_52,v_4,v_8,7,3
53,e_53,v_17,v_4,3,1
54,e_54,v_17,v_19,10,3
55,e_55,v_6,v_1,1,2
56,e_56,v_4,v_15,23,2
57,e_57,v_4,v_11,20,3
58,e_58,v_20,v_5,14,2
59,e_59,v_14,v_2,20,3
