,id,origin,destination,distance,hard_cap
0,e_0,v_19,v_10,2,3
1,e_1,v_12,v_16,14,2
2,e_2,v_13,v_17,25,2
3,e_3,v_5,v_6,14,1
4,e_4,v_11,v_5,9,3
5,e_5,v_9,v_5,12,3
6,e_6,v_4,v_2,24,1
7,e_7,v_14,v_20,5,1
8,e_8,v_6,v_15,24,3
9,e_9,v_14,v_12,20,2
10,e_10,v_16,v_19,11,2
11,e_11,v_10,v_8,10,2
12,e_12,v_8,v_2,20,2
13,e_13,v_1,v_10,2,1
14,e_14,v_3,v_11,15,3
15,e_15,v_9,v_19,3,1
16,e_16,v_8,v_12,22,2
17,e_17,v_6,v_13,26,3
18,e_18,v_12,v_2,10,3
19,e_19,v_5,v_14,10,1
20,e_20,v_11,v_12,12,3
21,e_21,v_3,v_14,3,1
22,e_22,v_18,v_2,9,3
23,e_23,v_20,v_11,22,2
24,e_24,v_15,v_9,23,1
25,e_25,v_7,v_13,17,2
26,e_26,v_15,v_19,25,1
27,e_27,v_13,v_11,7,3
28,e_28,v_7,v_3,10,2
29,e_29,v_13,v_20,26,3
