,id,origin,destination,distance,hard_cap
0,e_0,v_8,v_18,13,3
1,e_1,v_4,v_12,28,2
2,e_2,v_11,v_4,20,3
3,e_3,v_17,v_12,26,2
4,e_4,v_12,v_8,22,2
5,e_5,v_5,v_8,8,3
6,e_6,v_20,v_7,15,3
7,e_7,v_10,v_4,13,4
8,e_8,v_17,v_19,10,2
9,e_9,v_15,v_20,25,5
10,e_10,v_16,v_9,10,4
11,e_11,v_17,v_5,10,2
12,e_12,v_13,v_17,25,3
13,e_13,v_10,v_17,12,3
14,e_14,v_10,v_16,12,5
15,e_15,v_13,v_14,21,4
16,e_16,v_11,v_10,23,3
17,e_17,v_16,v_20,11,1
18,e_18,v_14,v_15,20,4
19,e_19,v_2,v_17,22,5
20,e_20,v_4,v_18,18,2
21,e_21,v_20,v_19,1,5
22,e_22,v_3,v_8,6,2
23,e_23,v_19,v_7,15,4
24,e_24,v_8,v_13,22,5
25,e_25,v_6,v_2,25,4
26,e_26,v_3,v_9,6,5
27,e_27,v_16,v_15,16,2
28,e_28,v_8,v_20,8,4
29,e_29,v_5,v_12,17,2
