,id,origin,destination,distance,hard_cap
0,e_0,v_19,v_5,14,3
1,e_1,v_5,v_19,14,6
2,e_2,v_6,v_19,1,5
3,e_3,v_11,v_3,15,2
4,e_4,v_19,v_11,22,7
5,e_5,v_8,v_9,6,3
6,e_6,v_6,v_10,3,3
7,e_7,v_15,v_6,24,4
8,e_8,v_7,v_3,10,5
9,e_9,v_6,v_5,14,6
10,e_10,v_8,v_1,8,4
11,e_11,v_1,v_17,11,6
12,e_12,v_9,v_20,3,3
13,e_13,v_11,v_2,4,7
14,e_14,v_18,v_9,15,5
15,e_15,v_7,v_8,8,2
16,e_16,v_6,v_9,2,6
17,e_17,v_14,v_12,20,2
18,e_18,v_4,v_18,18,3
19,e_19,v_15,v_19,25,1
20,e_20,v_12,v_4,28,6
21,e_21,v_16,v_17,14,5
22,e_22,v_20,v_7,15,3
23,e_23,v_12,v_9,24,1
24,e_24,v_15,v_14,20,3
25,e_25,v_4,v_3,12,6
26,e_26,v_4,v_12,28,2
27,e_27,v_5,v_14,10,3
28,e_28,v_10,v_18,18,1
29,e_29,v_14,v_3,3,1
