,id,demand,origin,destination
0,k_0,1,"13,13","10,18"
1,k_1,1,"2,4","10,18"
2,k_2,1,"20,11","24,15"
3,k_3,1,"2,21","20,11"
4,k_4,1,"2,4","10,18"
5,k_5,1,"17,0","1,17"
6,k_6,1,"13,13","20,14"
7,k_7,1,"2,21","7,15"
8,k_8,1,"16,7","20,12"
9,k_9,1,"1,17","20,12"
10,k_10,1,"2,21","20,14"
11,k_11,1,"20,12","13,20"
12,k_12,1,"10,18","24,15"
13,k_13,1,"13,13","21,19"
14,k_14,1,"17,0","20,11"
15,k_15,1,"23,15","7,15"
16,k_16,1,"24,15","21,19"
17,k_17,1,"11,0","20,11"
18,k_18,1,"13,20","21,19"
19,k_19,1,"7,15","24,15"
20,k_20,1,"17,21","21,19"
21,k_21,1,"17,0","20,14"
22,k_22,1,"4,19","20,14"
23,k_23,1,"17,21","20,11"
24,k_24,1,"16,7","23,15"
25,k_25,1,"17,21","20,11"
26,k_26,1,"17,0","24,15"
27,k_27,1,"21,19","24,15"
28,k_28,1,"1,17","17,0"
29,k_29,1,"20,14","10,18"
30,k_30,1,"0,4","10,18"
31,k_31,1,"4,19","10,18"
32,k_32,1,"15,18","1,17"
33,k_33,1,"17,0","20,12"
34,k_34,1,"20,11","1,17"
35,k_35,1,"13,20","20,12"
36,k_36,1,"16,7","20,12"
37,k_37,1,"20,14","15,18"
38,k_38,1,"7,15","20,12"
39,k_39,1,"21,19","17,0"
40,k_40,1,"10,18","20,12"
41,k_41,1,"23,15","13,20"
42,k_42,1,"7,15","17,0"
43,k_43,1,"7,15","17,0"
44,k_44,1,"7,15","24,15"
45,k_45,1,"24,15","20,12"
46,k_46,1,"15,18","24,15"
47,k_47,1,"20,11","15,18"
48,k_48,1,"23,15","15,18"
49,k_49,1,"13,20","20,11"
50,k_50,1,"17,0","20,11"
51,k_51,1,"21,19","24,15"
52,k_52,1,"16,7","20,12"
53,k_53,1,"2,4","10,18"
54,k_54,1,"10,18","20,14"
55,k_55,1,"24,15","21,19"
56,k_56,1,"13,13","24,15"
57,k_57,1,"17,21","23,15"
58,k_58,1,"4,19","21,19"
59,k_59,1,"20,14","10,18"
60,k_60,1,"13,20","17,0"
61,k_61,1,"13,20","21,19"
62,k_62,1,"13,13","21,19"
63,k_63,1,"11,0","24,15"
64,k_64,1,"2,4","20,12"
65,k_65,1,"17,21","24,15"
66,k_66,1,"13,20","1,17"
67,k_67,1,"21,19","17,0"
68,k_68,1,"17,21","24,15"
69,k_69,1,"15,18","21,19"
70,k_70,1,"20,12","15,18"
71,k_71,1,"17,0","20,11"
72,k_72,1,"13,13","10,18"
73,k_73,1,"4,19","20,14"
74,k_74,1,"17,0","20,12"
75,k_75,1,"10,18","1,17"
76,k_76,1,"21,19","24,15"
77,k_77,1,"10,18","17,0"
