,id,origin,destination,distance,hard_cap
0,"e_7,0,8,0","7,0","8,0",1,1
1,"e_7,0,4,0","7,0","4,0",3,1
2,"e_8,0,7,0","8,0","7,0",1,3
3,"e_4,7,1,7","4,7","1,7",3,3
4,"e_4,7,2,8","4,7","2,8",3,5
5,"e_1,7,4,7","1,7","4,7",3,2
6,"e_1,7,2,8","1,7","2,8",2,1
7,"e_15,8,16,9","15,8","16,9",2,4
8,"e_15,8,15,6","15,8","15,6",2,4
9,"e_2,8,4,7","2,8","4,7",3,2
10,"e_2,8,1,7","2,8","1,7",2,5
11,"e_2,14,3,15","2,14","3,15",2,4
12,"e_16,9,15,8","16,9","15,8",2,1
13,"e_15,6,15,8","15,6","15,8",2,1
14,"e_4,0,7,0","4,0","7,0",3,4
15,"e_3,15,2,14","3,15","2,14",2,5
16,"e_7,0,15,8","7,0","15,8",16,5
17,"e_5,22,16,9","5,22","16,9",24,4
18,"e_8,0,4,0","8,0","4,0",4,1
19,"e_4,7,15,6","4,7","15,6",12,3
20,"e_8,20,8,0","8,20","8,0",20,4
21,"e_21,0,12,17","21,0","12,17",26,5
22,"e_23,16,18,20","23,16","18,20",9,4
23,"e_1,7,12,17","1,7","12,17",21,5
24,"e_15,8,2,8","15,8","2,8",13,4
25,"e_2,8,23,16","2,8","23,16",29,5
26,"e_10,9,2,8","10,9","2,8",9,2
27,"e_12,17,4,0","12,17","4,0",25,1
28,"e_2,14,2,8","2,14","2,8",6,5
29,"e_16,9,12,17","16,9","12,17",12,1
30,"e_18,20,4,7","18,20","4,7",27,3
31,"e_15,6,21,0","15,6","21,0",12,2
32,"e_4,0,8,0","4,0","8,0",4,3
33,"e_16,15,16,9","16,15","16,9",6,2
34,"e_3,15,1,7","3,15","1,7",10,4
