,id,origin,destination,distance,hard_cap
0,"e_19,17,20,20","19,17","20,20",4,1
1,"e_9,6,8,9","9,6","8,9",4,2
2,"e_11,9,8,9","11,9","8,9",3,2
3,"e_5,14,3,15","5,14","3,15",3,4
4,"e_22,9,24,7","22,9","24,7",4,2
5,"e_22,9,20,9","22,9","20,9",2,4
6,"e_8,11,8,9","8,11","8,9",2,1
7,"e_8,11,8,12","8,11","8,12",1,2
8,"e_24,5,24,7","24,5","24,7",2,4
9,"e_8,9,9,6","8,9","9,6",4,5
10,"e_8,9,11,9","8,9","11,9",3,4
11,"e_8,9,8,11","8,9","8,11",2,2
12,"e_8,9,8,12","8,9","8,12",3,2
13,"e_20,20,19,17","20,20","19,17",4,1
14,"e_2,16,3,15","2,16","3,15",2,5
15,"e_24,7,22,9","24,7","22,9",4,3
16,"e_24,7,24,5","24,7","24,5",2,5
17,"e_18,2,17,0","18,2","17,0",3,5
18,"e_17,0,18,2","17,0","18,2",3,2
19,"e_8,12,8,11","8,12","8,11",1,1
20,"e_8,12,8,9","8,12","8,9",3,2
21,"e_20,9,22,9","20,9","22,9",2,3
22,"e_3,15,5,14","3,15","5,14",3,1
23,"e_3,15,2,16","3,15","2,16",2,2
24,"e_19,17,3,15","19,17","3,15",18,2
25,"e_19,17,22,9","19,17","22,9",11,1
26,"e_9,6,8,12","9,6","8,12",7,1
27,"e_9,6,19,17","9,6","19,17",21,5
28,"e_11,9,22,14","11,9","22,14",16,3
29,"e_5,14,22,9","5,14","22,9",22,2
30,"e_22,9,19,17","22,9","19,17",11,2
31,"e_8,11,10,23","8,11","10,23",14,1
32,"e_24,5,20,9","24,5","20,9",8,2
33,"e_8,9,2,16","8,9","2,16",13,1
34,"e_20,20,2,16","20,20","2,16",22,2
35,"e_22,14,14,12","22,14","14,12",10,1
36,"e_22,14,24,7","22,14","24,7",9,4
37,"e_2,16,8,9","2,16","8,9",13,3
38,"e_2,16,5,14","2,16","5,14",5,2
39,"e_6,22,8,12","6,22","8,12",12,4
40,"e_24,7,8,11","24,7","8,11",20,3
41,"e_18,2,20,9","18,2","20,9",9,2
42,"e_17,0,14,12","17,0","14,12",15,2
43,"e_17,0,19,17","17,0","19,17",19,3
44,"e_10,23,11,9","10,23","11,9",15,3
45,"e_10,23,24,7","10,23","24,7",30,4
46,"e_8,12,22,9","8,12","22,9",17,2
47,"e_20,9,24,7","20,9","24,7",6,4
48,"e_20,9,19,17","20,9","19,17",9,4
49,"e_3,15,20,20","3,15","20,20",22,3
50,"e_3,15,6,22","3,15","6,22",10,1
51,"e_14,12,24,5","14,12","24,5",17,4
52,"e_14,12,22,14","14,12","22,14",10,1
