,id,origin,destination,distance,hard_cap
0,"e_4,22,3,21","4,22","3,21",2,2
1,"e_4,15,5,13","4,15","5,13",3,2
2,"e_4,15,5,17","4,15","5,17",3,1
3,"e_4,15,3,13","4,15","3,13",3,1
4,"e_17,8,19,10","17,8","19,10",4,1
5,"e_17,8,16,6","17,8","16,6",3,3
6,"e_17,23,20,23","17,23","20,23",3,1
7,"e_4,1,2,3","4,1","2,3",4,3
8,"e_5,13,4,15","5,13","4,15",3,1
9,"e_5,13,5,17","5,13","5,17",4,3
10,"e_5,13,3,13","5,13","3,13",2,3
11,"e_19,10,17,8","19,10","17,8",4,3
12,"e_5,17,4,15","5,17","4,15",3,1
13,"e_5,17,5,13","5,17","5,13",4,1
14,"e_16,6,17,8","16,6","17,8",3,2
15,"e_2,3,4,1","2,3","4,1",4,2
16,"e_3,21,4,22","3,21","4,22",2,1
17,"e_20,23,17,23","20,23","17,23",3,2
18,"e_3,13,4,15","3,13","4,15",3,1
19,"e_3,13,5,13","3,13","5,13",2,3
20,"e_4,22,3,13","4,22","3,13",10,1
21,"e_4,22,4,1","4,22","4,1",21,1
22,"e_4,15,17,23","4,15","17,23",21,1
23,"e_4,15,24,14","4,15","24,14",21,3
24,"e_17,8,21,6","17,8","21,6",6,3
25,"e_17,8,5,13","17,8","5,13",17,2
26,"e_17,23,20,16","17,23","20,16",10,2
27,"e_17,23,4,1","17,23","4,1",35,1
28,"e_21,6,11,5","21,6","11,5",11,2
29,"e_4,1,0,6","4,1","0,6",9,3
30,"e_5,13,20,16","5,13","20,16",18,3
31,"e_5,13,0,6","5,13","0,6",12,3
32,"e_19,10,20,16","19,10","20,16",7,2
33,"e_19,10,2,3","19,10","2,3",24,1
34,"e_6,6,2,3","6,6","2,3",7,1
35,"e_6,6,5,17","6,6","5,17",12,2
36,"e_5,17,3,21","5,17","3,21",6,3
37,"e_20,16,3,21","20,16","3,21",22,2
38,"e_16,6,5,13","16,6","5,13",18,1
39,"e_2,3,21,6","2,3","21,6",22,2
40,"e_0,6,4,1","0,6","4,1",9,3
41,"e_3,21,2,3","3,21","2,3",19,3
42,"e_3,21,24,14","3,21","24,14",28,2
43,"e_24,14,4,1","24,14","4,1",33,3
44,"e_24,14,17,8","24,14","17,8",13,2
45,"e_20,23,3,21","20,23","3,21",19,1
46,"e_11,5,2,3","11,5","2,3",11,2
47,"e_11,5,21,6","11,5","21,6",11,2
48,"e_3,13,0,6","3,13","0,6",10,3
49,"e_3,13,2,3","3,13","2,3",11,2
