,id,origin,destination,distance,arc_cap
0,"e_40,9,42,9","40,9","42,9",2,2
1,"e_40,9,36,8","40,9","36,8",5,12
2,"e_20,18,23,9","20,18","23,9",12,14
3,"e_20,18,20,3","20,18","20,3",15,13
4,"e_20,18,26,22","20,18","26,22",10,3
5,"e_20,18,29,24","20,18","29,24",15,15
6,"e_20,18,11,22","20,18","11,22",13,7
7,"e_20,18,18,31","20,18","18,31",15,12
8,"e_20,18,18,15","20,18","18,15",5,8
9,"e_20,18,8,20","20,18","8,20",14,6
10,"e_20,18,15,10","20,18","15,10",13,10
11,"e_26,38,24,42","26,38","24,42",6,3
12,"e_26,38,26,30","26,38","26,30",8,2
13,"e_26,38,18,31","26,38","18,31",15,3
14,"e_23,9,20,18","23,9","20,18",12,3
15,"e_23,9,20,3","23,9","20,3",9,7
16,"e_23,9,24,0","23,9","24,0",10,2
17,"e_23,9,18,15","23,9","18,15",11,9
18,"e_23,9,15,10","23,9","15,10",9,13
19,"e_23,9,36,8","23,9","36,8",14,1
20,"e_24,42,26,38","24,42","26,38",6,3
21,"e_24,42,26,30","24,42","26,30",14,5
22,"e_20,3,20,18","20,3","20,18",15,1
23,"e_20,3,23,9","20,3","23,9",9,10
24,"e_20,3,11,3","20,3","11,3",9,9
25,"e_20,3,24,0","20,3","24,0",7,11
26,"e_20,3,18,15","20,3","18,15",14,6
27,"e_20,3,15,10","20,3","15,10",12,3
28,"e_42,9,40,9","42,9","40,9",2,14
29,"e_42,9,36,8","42,9","36,8",7,4
30,"e_11,3,20,3","11,3","20,3",9,13
31,"e_11,3,15,10","11,3","15,10",11,6
32,"e_26,30,26,38","26,30","26,38",8,11
33,"e_26,30,24,42","26,30","24,42",14,13
34,"e_26,30,26,22","26,30","26,22",8,1
35,"e_26,30,29,24","26,30","29,24",9,1
36,"e_26,30,34,24","26,30","34,24",14,14
37,"e_26,30,18,31","26,30","18,31",9,9
38,"e_26,30,12,29","26,30","12,29",15,7
39,"e_26,22,20,18","26,22","20,18",10,7
40,"e_26,22,26,30","26,22","26,30",8,15
41,"e_26,22,29,24","26,22","29,24",5,11
42,"e_26,22,34,24","26,22","34,24",10,10
43,"e_26,22,11,22","26,22","11,22",15,15
44,"e_26,22,18,15","26,22","18,15",15,13
45,"e_29,24,20,18","29,24","20,18",15,5
46,"e_29,24,26,30","29,24","26,30",9,13
47,"e_29,24,26,22","29,24","26,22",5,1
48,"e_29,24,34,24","29,24","34,24",5,10
49,"e_29,24,42,26","29,24","42,26",15,2
50,"e_34,24,26,30","34,24","26,30",14,9
51,"e_34,24,26,22","34,24","26,22",10,12
52,"e_34,24,29,24","34,24","29,24",5,4
53,"e_34,24,42,26","34,24","42,26",10,14
54,"e_24,0,23,9","24,0","23,9",10,3
55,"e_24,0,20,3","24,0","20,3",7,12
56,"e_0,30,8,36","0,30","8,36",14,10
57,"e_0,30,12,29","0,30","12,29",13,14
58,"e_11,22,20,18","11,22","20,18",13,15
59,"e_11,22,26,22","11,22","26,22",15,9
60,"e_11,22,18,15","11,22","18,15",14,2
61,"e_11,22,8,20","11,22","8,20",5,12
62,"e_11,22,12,29","11,22","12,29",8,15
63,"e_18,31,20,18","18,31","20,18",15,1
64,"e_18,31,26,38","18,31","26,38",15,8
65,"e_18,31,26,30","18,31","26,30",9,11
66,"e_18,31,8,36","18,31","8,36",15,15
67,"e_18,31,12,29","18,31","12,29",8,11
68,"e_4,12,8,20","4,12","8,20",12,6
69,"e_4,12,15,10","4,12","15,10",13,10
70,"e_18,15,20,18","18,15","20,18",5,7
71,"e_18,15,23,9","18,15","23,9",11,15
72,"e_18,15,20,3","18,15","20,3",14,7
73,"e_18,15,26,22","18,15","26,22",15,15
74,"e_18,15,11,22","18,15","11,22",14,12
75,"e_18,15,8,20","18,15","8,20",15,11
76,"e_18,15,15,10","18,15","15,10",8,12
77,"e_8,20,20,18","8,20","20,18",14,15
78,"e_8,20,11,22","8,20","11,22",5,12
79,"e_8,20,4,12","8,20","4,12",12,11
80,"e_8,20,18,15","8,20","18,15",15,7
81,"e_8,20,12,29","8,20","12,29",13,4
82,"e_42,26,29,24","42,26","29,24",15,10
83,"e_42,26,34,24","42,26","34,24",10,10
84,"e_8,36,0,30","8,36","0,30",14,9
85,"e_8,36,18,31","8,36","18,31",15,4
86,"e_8,36,12,29","8,36","12,29",11,7
87,"e_12,29,26,30","12,29","26,30",15,8
88,"e_12,29,0,30","12,29","0,30",13,12
89,"e_12,29,11,22","12,29","11,22",8,3
90,"e_12,29,18,31","12,29","18,31",8,1
91,"e_12,29,8,20","12,29","8,20",13,4
92,"e_12,29,8,36","12,29","8,36",11,13
93,"e_15,10,20,18","15,10","20,18",13,3
94,"e_15,10,23,9","15,10","23,9",9,7
