,id,origin,destination,distance,arc_cap
0,"e_44,6,40,10","44,6","40,10",8,1
1,"e_44,6,49,1","44,6","49,1",10,6
2,"e_39,26,37,31","39,26","37,31",7,2
3,"e_39,26,42,21","39,26","42,21",8,7
4,"e_15,19,18,11","15,19","18,11",11,6
5,"e_15,19,18,18","15,19","18,18",4,9
6,"e_15,19,12,25","15,19","12,25",9,2
7,"e_15,19,15,30","15,19","15,30",11,6
8,"e_17,35,11,38","17,35","11,38",9,7
9,"e_17,35,15,30","17,35","15,30",7,10
10,"e_17,35,24,37","17,35","24,37",9,9
11,"e_40,10,44,6","40,10","44,6",8,9
12,"e_40,10,32,9","40,10","32,9",9,5
13,"e_40,10,36,14","40,10","36,14",8,9
14,"e_40,41,44,41","40,41","44,41",4,3
15,"e_32,9,40,10","32,9","40,10",9,1
16,"e_32,9,36,14","32,9","36,14",9,6
17,"e_32,9,33,17","32,9","33,17",9,3
18,"e_49,1,44,6","49,1","44,6",10,8
19,"e_18,11,15,19","18,11","15,19",11,9
20,"e_18,11,18,18","18,11","18,18",7,1
21,"e_18,18,15,19","18,18","15,19",4,10
22,"e_18,18,18,11","18,18","18,11",7,10
23,"e_18,18,21,26","18,18","21,26",11,6
24,"e_6,29,12,25","6,29","12,25",10,4
25,"e_6,29,15,30","6,29","15,30",10,6
26,"e_44,41,40,41","44,41","40,41",4,9
27,"e_11,38,17,35","11,38","17,35",9,3
28,"e_11,38,11,43","11,38","11,43",5,1
29,"e_3,5,2,9","3,5","2,9",5,9
30,"e_3,5,6,12","3,5","6,12",10,1
31,"e_2,9,3,5","2,9","3,5",5,4
32,"e_2,9,6,12","2,9","6,12",7,9
33,"e_6,12,3,5","6,12","3,5",10,9
34,"e_6,12,2,9","6,12","2,9",7,8
35,"e_12,25,15,19","12,25","15,19",9,1
36,"e_12,25,6,29","12,25","6,29",10,7
37,"e_12,25,15,30","12,25","15,30",8,8
38,"e_12,25,21,26","12,25","21,26",10,2
39,"e_15,30,15,19","15,30","15,19",11,2
40,"e_15,30,17,35","15,30","17,35",7,6
41,"e_15,30,6,29","15,30","6,29",10,9
42,"e_15,30,12,25","15,30","12,25",8,5
43,"e_15,30,21,26","15,30","21,26",10,4
44,"e_37,31,39,26","37,31","39,26",7,5
45,"e_21,26,18,18","21,26","18,18",11,2
46,"e_21,26,12,25","21,26","12,25",10,6
47,"e_21,26,15,30","21,26","15,30",10,4
48,"e_24,37,17,35","24,37","17,35",9,3
49,"e_11,43,11,38","11,43","11,38",5,4
50,"e_36,14,40,10","36,14","40,10",8,10
51,"e_36,14,32,9","36,14","32,9",9,10
52,"e_36,14,33,17","36,14","33,17",6,3
53,"e_42,21,39,26","42,21","39,26",8,3
54,"e_33,17,32,9","33,17","32,9",9,2
55,"e_33,17,36,14","33,17","36,14",6,2
56,"e_44,6,11,38","44,6","11,38",65,4
57,"e_39,26,12,25","39,26","12,25",28,7
58,"e_15,19,6,29","15,19","6,29",19,5
59,"e_17,35,44,6","17,35","44,6",56,8
60,"e_40,10,42,21","40,10","42,21",13,2
61,"e_40,41,42,21","40,41","42,21",22,5
62,"e_32,9,40,41","32,9","40,41",40,9
63,"e_49,1,18,18","49,1","18,18",48,2
64,"e_18,11,24,37","18,11","24,37",32,6
65,"e_18,18,42,21","18,18","42,21",27,4
66,"e_6,29,24,37","6,29","24,37",26,6
67,"e_44,41,24,37","44,41","24,37",24,2
68,"e_11,38,42,21","11,38","42,21",48,9
69,"e_3,5,37,31","3,5","37,31",60,10
70,"e_2,9,44,6","2,9","44,6",45,8
71,"e_6,12,17,35","6,12","17,35",34,3
72,"e_12,25,33,17","12,25","33,17",29,8
73,"e_15,30,32,9","15,30","32,9",38,8
74,"e_37,31,33,17","37,31","33,17",18,6
75,"e_21,26,17,35","21,26","17,35",13,7
76,"e_24,37,39,26","24,37","39,26",26,2
77,"e_11,43,33,17","11,43","33,17",48,8
78,"e_36,14,21,26","36,14","21,26",27,3
79,"e_42,21,44,6","42,21","44,6",17,3
80,"e_33,17,21,26","33,17","21,26",21,3
