,id,origin,destination
0,k_0,"15,24","17,40"
1,k_1,"36,40","15,24"
2,k_2,"32,20","47,32"
3,k_3,"47,15","2,13"
4,k_4,"16,34","22,22"
5,k_5,"47,15","36,34"
6,k_6,"32,20","17,40"
7,k_7,"15,10","37,37"
8,k_8,"30,37","28,41"
9,k_9,"16,34","45,3"
10,k_10,"17,20","36,40"
11,k_11,"47,32","15,24"
12,k_12,"47,32","45,3"
13,k_13,"45,3","3,40"
14,k_14,"45,3","17,40"
15,k_15,"30,37","37,37"
16,k_16,"17,20","27,43"
17,k_17,"32,20","36,40"
18,k_18,"2,13","5,49"
19,k_19,"36,40","16,34"
20,k_20,"17,40","28,41"
21,k_21,"22,22","15,10"
22,k_22,"22,22","2,13"
23,k_23,"2,13","29,25"
24,k_24,"17,40","30,37"
25,k_25,"32,20","30,37"
26,k_26,"2,13","37,37"
27,k_27,"22,22","45,3"
28,k_28,"6,35","27,43"
29,k_29,"22,22","15,10"
30,k_30,"36,40","32,20"
31,k_31,"38,4","29,25"
32,k_32,"21,14","47,32"
33,k_33,"36,34","30,37"
34,k_34,"16,34","17,20"
35,k_35,"32,20","6,35"
36,k_36,"2,13","36,40"
37,k_37,"47,32","6,35"
38,k_38,"21,14","22,17"
39,k_39,"6,35","5,49"
40,k_40,"15,24","36,34"
41,k_41,"15,24","28,41"
42,k_42,"32,20","2,13"
43,k_43,"15,24","29,25"
44,k_44,"21,14","17,20"
45,k_45,"47,32","22,22"
46,k_46,"30,37","16,34"
47,k_47,"45,3","37,37"
48,k_48,"47,32","16,34"
49,k_49,"17,20","5,49"
50,k_50,"47,32","17,40"
51,k_51,"32,20","22,17"
52,k_52,"15,10","16,34"
53,k_53,"5,49","22,22"
54,k_54,"45,3","37,37"
55,k_55,"3,40","22,22"
56,k_56,"5,49","6,35"
57,k_57,"6,35","17,20"
58,k_58,"47,15","17,20"
59,k_59,"47,15","3,40"
60,k_60,"27,43","22,17"
61,k_61,"36,34","17,20"
62,k_62,"29,25","27,43"
63,k_63,"32,20","27,43"
64,k_64,"2,13","36,34"
65,k_65,"2,13","36,34"
66,k_66,"27,43","30,37"
67,k_67,"47,15","5,49"
68,k_68,"45,3","21,14"
69,k_69,"6,35","17,20"
70,k_70,"27,43","2,13"
71,k_71,"37,37","22,17"
72,k_72,"36,34","17,40"
73,k_73,"38,4","6,35"
74,k_74,"22,17","17,20"
75,k_75,"30,37","29,25"
76,k_76,"16,34","6,35"
77,k_77,"22,17","21,14"
78,k_78,"27,43","17,40"
79,k_79,"32,20","5,49"
80,k_80,"29,25","27,43"
81,k_81,"28,41","15,10"
82,k_82,"15,24","27,43"
83,k_83,"6,35","21,14"
84,k_84,"29,25","37,37"
85,k_85,"36,40","9,18"
86,k_86,"38,4","17,40"
87,k_87,"22,22","29,25"
88,k_88,"22,17","15,10"
89,k_89,"2,13","17,20"
90,k_90,"22,17","27,43"
91,k_91,"29,25","16,34"
92,k_92,"32,20","47,32"
93,k_93,"17,20","38,4"
94,k_94,"9,18","28,41"
95,k_95,"36,34","15,24"
96,k_96,"16,34","32,20"
97,k_97,"9,18","45,3"
98,k_98,"30,37","5,49"
99,k_99,"22,17","3,40"
100,k_100,"17,40","36,34"
101,k_101,"32,20","16,34"
102,k_102,"5,49","15,10"
103,k_103,"28,41","36,34"
104,k_104,"6,35","47,32"
105,k_105,"21,14","6,35"
106,k_106,"21,14","6,35"
107,k_107,"9,18","36,34"
108,k_108,"21,14","9,18"
109,k_109,"3,40","15,24"
110,k_110,"2,13","29,25"
111,k_111,"28,41","17,20"
112,k_112,"47,15","22,17"
113,k_113,"17,40","17,20"
114,k_114,"3,40","21,14"
115,k_115,"21,14","36,40"
116,k_116,"36,34","17,40"
117,k_117,"21,14","15,10"
118,k_118,"17,40","16,34"
119,k_119,"36,34","9,18"
120,k_120,"45,3","36,34"
121,k_121,"36,40","22,22"
122,k_122,"6,35","17,40"
123,k_123,"36,34","15,24"
124,k_124,"37,37","9,18"
125,k_125,"17,40","22,22"
126,k_126,"38,4","27,43"
127,k_127,"9,18","38,4"
128,k_128,"38,4","32,20"
129,k_129,"28,41","5,49"
130,k_130,"21,14","15,10"
131,k_131,"3,40","15,24"
132,k_132,"22,22","16,34"
133,k_133,"29,25","22,17"
134,k_134,"47,15","21,14"
135,k_135,"38,4","2,13"
136,k_136,"36,34","45,3"
137,k_137,"17,40","5,49"
138,k_138,"30,37","37,37"
139,k_139,"17,20","21,14"
140,k_140,"47,32","22,22"
141,k_141,"47,15","22,17"
142,k_142,"47,15","17,40"
143,k_143,"22,22","3,40"
144,k_144,"3,40","36,40"
145,k_145,"15,24","22,17"
146,k_146,"21,14","15,10"
147,k_147,"21,14","2,13"
148,k_148,"15,24","29,25"
149,k_149,"36,40","36,34"
