,id,origin,destination
0,k_0,"41,29","4,42"
1,k_1,"40,9","7,23"
2,k_2,"46,21","27,38"
3,k_3,"40,11","24,36"
4,k_4,"25,42","24,36"
5,k_5,"24,36","29,0"
6,k_6,"14,48","24,36"
7,k_7,"40,9","36,47"
8,k_8,"40,9","12,15"
9,k_9,"29,0","28,26"
10,k_10,"49,34","15,37"
11,k_11,"36,1","12,15"
12,k_12,"24,36","41,29"
13,k_13,"25,42","7,23"
14,k_14,"29,0","27,38"
15,k_15,"33,45","5,41"
16,k_16,"46,21","33,45"
17,k_17,"25,42","7,23"
18,k_18,"24,36","46,21"
19,k_19,"29,0","12,15"
20,k_20,"24,36","7,1"
21,k_21,"33,45","41,29"
22,k_22,"29,0","7,23"
23,k_23,"4,42","41,29"
24,k_24,"33,45","49,7"
25,k_25,"49,7","4,42"
26,k_26,"40,11","40,9"
27,k_27,"40,9","15,37"
28,k_28,"33,45","40,11"
29,k_29,"7,23","30,28"
30,k_30,"7,23","28,26"
31,k_31,"49,7","12,15"
32,k_32,"30,28","40,11"
33,k_33,"40,9","49,34"
34,k_34,"10,29","46,21"
35,k_35,"41,29","32,30"
36,k_36,"36,47","24,36"
37,k_37,"36,47","36,1"
38,k_38,"29,0","7,23"
39,k_39,"5,41","27,38"
40,k_40,"24,36","40,11"
41,k_41,"10,29","12,15"
42,k_42,"28,26","32,30"
43,k_43,"10,29","33,45"
44,k_44,"46,21","15,37"
45,k_45,"7,1","4,42"
46,k_46,"30,28","31,30"
47,k_47,"31,30","36,47"
48,k_48,"29,0","5,41"
49,k_49,"7,1","41,29"
50,k_50,"40,9","14,48"
51,k_51,"29,0","49,7"
52,k_52,"7,23","33,45"
53,k_53,"5,41","30,28"
54,k_54,"49,34","40,11"
55,k_55,"28,26","5,41"
56,k_56,"7,1","41,29"
57,k_57,"49,7","4,42"
58,k_58,"12,15","5,41"
59,k_59,"7,23","49,7"
60,k_60,"7,23","32,30"
61,k_61,"25,42","7,1"
62,k_62,"46,21","30,28"
63,k_63,"30,28","7,1"
64,k_64,"4,42","33,45"
65,k_65,"30,28","49,7"
66,k_66,"36,47","32,30"
67,k_67,"24,36","5,41"
68,k_68,"29,0","14,48"
69,k_69,"10,29","7,23"
70,k_70,"46,21","7,1"
71,k_71,"14,48","7,1"
72,k_72,"40,9","25,42"
73,k_73,"14,48","40,11"
74,k_74,"30,28","28,26"
75,k_75,"5,41","49,34"
76,k_76,"29,0","7,1"
77,k_77,"30,28","27,38"
78,k_78,"5,41","36,47"
79,k_79,"15,37","5,41"
80,k_80,"4,42","28,26"
81,k_81,"28,26","25,42"
82,k_82,"49,34","36,47"
83,k_83,"30,28","15,37"
84,k_84,"7,23","30,28"
85,k_85,"32,30","7,1"
86,k_86,"7,23","12,15"
87,k_87,"46,21","24,36"
88,k_88,"5,41","36,47"
89,k_89,"4,42","7,1"
90,k_90,"29,0","24,36"
91,k_91,"29,0","46,21"
92,k_92,"27,38","14,48"
93,k_93,"32,30","29,0"
94,k_94,"5,41","40,9"
95,k_95,"46,21","49,34"
96,k_96,"25,42","40,11"
97,k_97,"4,42","28,26"
98,k_98,"12,15","28,26"
99,k_99,"12,15","33,45"
100,k_100,"25,42","40,9"
101,k_101,"36,47","4,42"
102,k_102,"14,48","12,15"
103,k_103,"5,41","40,11"
104,k_104,"41,29","12,15"
105,k_105,"31,30","41,29"
106,k_106,"31,30","30,28"
107,k_107,"25,42","31,30"
108,k_108,"36,47","33,45"
109,k_109,"36,1","28,26"
110,k_110,"32,30","46,21"
111,k_111,"12,15","40,9"
112,k_112,"49,34","15,37"
113,k_113,"7,1","5,41"
114,k_114,"40,11","29,0"
115,k_115,"7,23","33,45"
116,k_116,"27,38","15,37"
117,k_117,"49,34","10,29"
118,k_118,"32,30","30,28"
119,k_119,"7,23","32,30"
120,k_120,"40,9","7,23"
121,k_121,"24,36","36,1"
122,k_122,"32,30","49,7"
123,k_123,"40,9","36,1"
124,k_124,"30,28","27,38"
125,k_125,"12,15","40,11"
126,k_126,"27,38","7,23"
127,k_127,"36,1","25,42"
128,k_128,"29,0","5,41"
129,k_129,"4,42","32,30"
130,k_130,"24,36","29,0"
131,k_131,"49,34","40,9"
132,k_132,"7,23","27,38"
133,k_133,"49,7","36,47"
134,k_134,"4,42","40,9"
135,k_135,"41,29","12,15"
136,k_136,"46,21","12,15"
137,k_137,"7,1","14,48"
138,k_138,"36,1","32,30"
139,k_139,"7,1","33,45"
140,k_140,"49,34","30,28"
141,k_141,"40,11","46,21"
142,k_142,"29,0","14,48"
143,k_143,"27,38","40,9"
144,k_144,"36,1","31,30"
145,k_145,"24,36","28,26"
146,k_146,"40,9","31,30"
147,k_147,"30,28","10,29"
148,k_148,"32,30","27,38"
149,k_149,"49,34","32,30"
