,id,origin,destination
0,k_0,"11,47","36,49"
1,k_1,"22,35","34,20"
2,k_2,"17,1","11,47"
3,k_3,"45,44","36,30"
4,k_4,"34,20","30,22"
5,k_5,"5,18","15,4"
6,k_6,"17,1","45,44"
7,k_7,"15,4","11,39"
8,k_8,"36,30","34,5"
9,k_9,"39,40","41,40"
10,k_10,"15,4","9,4"
11,k_11,"6,1","10,46"
12,k_12,"34,20","15,4"
13,k_13,"0,9","6,1"
14,k_14,"16,25","45,26"
15,k_15,"11,47","10,46"
16,k_16,"39,40","25,28"
17,k_17,"0,9","9,4"
18,k_18,"10,46","9,4"
19,k_19,"10,46","33,34"
20,k_20,"44,8","25,28"
21,k_21,"11,47","9,4"
22,k_22,"22,35","16,25"
23,k_23,"0,9","5,18"
24,k_24,"6,1","16,25"
25,k_25,"22,35","6,1"
26,k_26,"5,18","22,35"
27,k_27,"10,46","34,20"
28,k_28,"17,1","10,46"
29,k_29,"11,39","30,22"
30,k_30,"30,22","34,5"
31,k_31,"25,28","44,8"
32,k_32,"9,4","44,8"
33,k_33,"5,18","17,1"
34,k_34,"22,35","5,18"
35,k_35,"34,5","0,9"
36,k_36,"45,44","16,25"
37,k_37,"30,22","5,18"
38,k_38,"45,44","41,40"
39,k_39,"11,47","36,30"
40,k_40,"22,35","30,22"
41,k_41,"11,47","11,39"
42,k_42,"22,35","39,40"
43,k_43,"0,9","36,49"
44,k_44,"9,4","16,25"
45,k_45,"11,47","5,18"
46,k_46,"41,40","6,1"
47,k_47,"11,39","9,4"
48,k_48,"6,1","34,5"
49,k_49,"17,1","16,25"
50,k_50,"6,1","15,4"
51,k_51,"41,34","10,46"
52,k_52,"5,18","39,40"
53,k_53,"34,20","41,34"
54,k_54,"41,34","36,30"
55,k_55,"15,4","6,1"
56,k_56,"36,30","34,5"
57,k_57,"30,22","11,47"
58,k_58,"41,34","44,8"
59,k_59,"30,22","10,46"
60,k_60,"39,40","0,9"
61,k_61,"15,4","11,39"
62,k_62,"30,22","11,39"
63,k_63,"17,1","30,22"
64,k_64,"36,30","41,34"
65,k_65,"15,4","34,5"
66,k_66,"17,1","39,40"
67,k_67,"22,35","41,40"
68,k_68,"5,18","34,20"
69,k_69,"44,8","34,5"
70,k_70,"0,9","30,22"
71,k_71,"6,1","11,47"
72,k_72,"22,35","9,4"
73,k_73,"44,8","6,1"
74,k_74,"11,39","41,40"
75,k_75,"11,47","44,8"
76,k_76,"39,40","41,34"
77,k_77,"10,46","22,35"
78,k_78,"33,34","36,30"
79,k_79,"15,4","17,1"
80,k_80,"11,39","41,34"
81,k_81,"10,46","30,22"
82,k_82,"0,9","10,46"
83,k_83,"34,20","22,35"
84,k_84,"17,1","41,40"
85,k_85,"17,1","45,44"
86,k_86,"0,9","11,47"
87,k_87,"41,34","16,25"
88,k_88,"25,28","10,46"
89,k_89,"39,40","11,39"
90,k_90,"33,34","0,9"
91,k_91,"33,34","10,46"
92,k_92,"41,40","17,1"
93,k_93,"5,18","33,34"
94,k_94,"6,1","45,26"
95,k_95,"25,28","0,9"
96,k_96,"31,4","11,47"
97,k_97,"33,34","34,5"
98,k_98,"6,1","36,30"
99,k_99,"17,1","41,40"
100,k_100,"33,34","30,22"
101,k_101,"30,22","16,25"
102,k_102,"34,5","41,40"
103,k_103,"15,4","34,20"
104,k_104,"25,28","45,44"
105,k_105,"0,9","30,22"
106,k_106,"34,20","45,26"
107,k_107,"33,34","9,4"
108,k_108,"41,40","22,35"
109,k_109,"17,1","5,18"
110,k_110,"22,35","36,49"
111,k_111,"22,35","11,39"
112,k_112,"36,49","30,22"
113,k_113,"22,35","11,39"
114,k_114,"15,4","31,4"
115,k_115,"41,34","44,8"
116,k_116,"41,40","11,47"
117,k_117,"45,26","36,49"
118,k_118,"36,30","39,40"
119,k_119,"41,34","36,49"
120,k_120,"15,4","34,5"
121,k_121,"45,44","34,5"
122,k_122,"16,25","9,4"
123,k_123,"11,39","6,1"
124,k_124,"31,4","25,28"
125,k_125,"36,49","30,22"
126,k_126,"30,22","41,40"
127,k_127,"17,1","11,47"
128,k_128,"6,1","9,4"
129,k_129,"5,18","34,20"
130,k_130,"39,40","11,47"
131,k_131,"15,4","36,49"
132,k_132,"16,25","5,18"
133,k_133,"17,1","33,34"
134,k_134,"30,22","41,34"
135,k_135,"41,34","6,1"
136,k_136,"41,40","34,5"
137,k_137,"11,47","45,26"
138,k_138,"17,1","9,4"
139,k_139,"41,40","22,35"
140,k_140,"36,30","31,4"
141,k_141,"11,47","30,22"
142,k_142,"44,8","5,18"
143,k_143,"5,18","45,44"
144,k_144,"25,28","30,22"
145,k_145,"9,4","39,40"
146,k_146,"45,26","33,34"
147,k_147,"45,44","17,1"
148,k_148,"45,44","10,46"
149,k_149,"45,44","22,35"
