,id,origin,destination
0,k_0,"33,1","46,48"
1,k_1,"8,34","29,10"
2,k_2,"5,28","22,36"
3,k_3,"47,24","30,28"
4,k_4,"29,10","42,39"
5,k_5,"34,28","27,27"
6,k_6,"5,28","8,34"
7,k_7,"34,49","30,28"
8,k_8,"33,15","43,9"
9,k_9,"42,39","34,28"
10,k_10,"43,22","29,48"
11,k_11,"28,45","5,28"
12,k_12,"33,1","34,28"
13,k_13,"46,7","24,8"
14,k_14,"33,15","33,1"
15,k_15,"42,39","46,7"
16,k_16,"15,25","43,9"
17,k_17,"28,45","47,24"
18,k_18,"34,28","47,24"
19,k_19,"34,28","46,7"
20,k_20,"33,15","8,34"
21,k_21,"8,34","46,48"
22,k_22,"42,39","46,48"
23,k_23,"2,15","15,25"
24,k_24,"43,22","22,36"
25,k_25,"21,45","29,48"
26,k_26,"15,25","47,24"
27,k_27,"8,34","42,39"
28,k_28,"34,49","8,34"
29,k_29,"15,25","46,7"
30,k_30,"45,34","21,45"
31,k_31,"30,28","29,48"
32,k_32,"46,48","47,24"
33,k_33,"15,25","30,28"
34,k_34,"43,9","15,25"
35,k_35,"31,43","24,8"
36,k_36,"30,28","28,45"
37,k_37,"30,28","46,48"
38,k_38,"21,45","8,34"
39,k_39,"27,27","43,9"
40,k_40,"27,27","33,1"
41,k_41,"33,1","5,28"
42,k_42,"2,15","28,45"
43,k_43,"31,43","22,36"
44,k_44,"28,45","30,28"
45,k_45,"33,15","28,45"
46,k_46,"15,25","5,28"
47,k_47,"34,28","8,34"
48,k_48,"21,45","29,48"
49,k_49,"15,25","29,48"
50,k_50,"33,15","46,7"
51,k_51,"8,34","5,28"
52,k_52,"34,49","24,8"
53,k_53,"46,7","47,24"
54,k_54,"34,28","42,39"
55,k_55,"46,48","22,36"
56,k_56,"43,9","42,39"
57,k_57,"33,15","34,28"
58,k_58,"2,15","31,43"
59,k_59,"34,28","29,48"
60,k_60,"30,28","33,15"
61,k_61,"7,20","29,10"
62,k_62,"33,1","43,9"
63,k_63,"34,49","46,48"
64,k_64,"22,36","43,9"
65,k_65,"27,27","45,34"
66,k_66,"47,24","34,49"
67,k_67,"21,45","2,15"
68,k_68,"2,15","34,28"
69,k_69,"8,34","47,24"
70,k_70,"21,45","45,34"
71,k_71,"42,39","21,45"
72,k_72,"43,9","22,36"
73,k_73,"42,39","33,15"
74,k_74,"34,28","21,45"
75,k_75,"22,36","24,8"
76,k_76,"43,9","28,45"
77,k_77,"45,34","15,25"
78,k_78,"47,24","31,43"
79,k_79,"46,48","34,49"
80,k_80,"33,15","33,1"
81,k_81,"42,39","2,15"
82,k_82,"5,28","15,25"
83,k_83,"33,15","47,24"
84,k_84,"15,25","33,15"
85,k_85,"45,34","24,8"
86,k_86,"29,48","42,39"
87,k_87,"29,48","31,43"
88,k_88,"43,9","22,36"
89,k_89,"46,7","29,48"
90,k_90,"21,45","43,22"
91,k_91,"30,28","43,9"
92,k_92,"8,34","34,28"
93,k_93,"46,48","29,10"
94,k_94,"28,45","7,20"
95,k_95,"46,7","8,34"
96,k_96,"28,45","42,39"
97,k_97,"43,9","29,10"
98,k_98,"2,15","46,48"
99,k_99,"29,10","24,8"
