,id,origin,destination
0,k_0,"40,38","21,47"
1,k_1,"14,33","28,13"
2,k_2,"23,7","22,49"
3,k_3,"28,13","7,31"
4,k_4,"32,26","47,6"
5,k_5,"8,45","14,33"
6,k_6,"25,4","1,15"
7,k_7,"14,33","32,26"
8,k_8,"46,12","49,22"
9,k_9,"9,45","14,33"
10,k_10,"23,7","28,13"
11,k_11,"34,15","2,38"
12,k_12,"23,7","47,6"
13,k_13,"46,46","8,45"
14,k_14,"1,15","21,47"
15,k_15,"1,15","7,6"
16,k_16,"23,7","30,8"
17,k_17,"32,15","32,26"
18,k_18,"22,49","7,31"
19,k_19,"40,38","32,26"
20,k_20,"40,38","49,22"
21,k_21,"21,47","8,45"
22,k_22,"1,15","22,49"
23,k_23,"23,7","9,45"
24,k_24,"1,15","28,13"
25,k_25,"30,8","22,49"
26,k_26,"8,22","8,45"
27,k_27,"32,15","7,31"
28,k_28,"32,15","33,17"
29,k_29,"49,22","14,33"
30,k_30,"22,49","7,31"
31,k_31,"32,26","32,15"
32,k_32,"45,6","32,26"
33,k_33,"8,45","2,38"
34,k_34,"46,46","21,47"
35,k_35,"21,47","33,17"
36,k_36,"30,8","23,7"
37,k_37,"7,6","8,22"
38,k_38,"28,13","49,22"
39,k_39,"40,38","47,6"
40,k_40,"46,46","1,15"
41,k_41,"2,38","1,15"
42,k_42,"45,6","28,13"
43,k_43,"30,8","45,6"
44,k_44,"14,33","21,47"
45,k_45,"46,46","32,26"
46,k_46,"32,15","34,15"
47,k_47,"8,45","28,13"
48,k_48,"7,6","30,8"
49,k_49,"30,8","34,15"
