,id,origin,destination
0,k_0,"43,22","5,28"
1,k_1,"4,30","28,0"
2,k_2,"2,45","5,28"
3,k_3,"22,39","2,45"
4,k_4,"27,44","26,47"
5,k_5,"42,1","26,47"
6,k_6,"28,0","7,21"
7,k_7,"17,33","7,13"
8,k_8,"47,37","35,23"
9,k_9,"26,47","27,44"
10,k_10,"7,21","11,0"
11,k_11,"5,42","7,13"
12,k_12,"5,42","28,0"
13,k_13,"19,19","34,9"
14,k_14,"5,12","5,42"
15,k_15,"9,0","7,13"
16,k_16,"2,45","9,0"
17,k_17,"11,0","22,39"
18,k_18,"26,28","22,39"
19,k_19,"11,0","35,23"
20,k_20,"4,30","34,9"
21,k_21,"5,42","5,28"
22,k_22,"43,22","26,28"
23,k_23,"5,12","47,37"
24,k_24,"18,14","2,45"
25,k_25,"22,39","34,9"
26,k_26,"9,0","5,28"
27,k_27,"35,10","43,22"
28,k_28,"11,0","9,0"
29,k_29,"47,37","19,19"
30,k_30,"7,21","18,14"
31,k_31,"5,12","42,1"
32,k_32,"19,19","47,37"
33,k_33,"4,30","7,21"
34,k_34,"26,28","5,12"
35,k_35,"9,0","28,0"
36,k_36,"7,21","28,0"
37,k_37,"5,28","22,39"
38,k_38,"43,22","47,37"
39,k_39,"11,0","2,45"
40,k_40,"2,45","9,0"
41,k_41,"47,29","26,28"
42,k_42,"35,10","4,30"
43,k_43,"38,27","35,23"
44,k_44,"26,47","18,14"
45,k_45,"2,45","4,30"
46,k_46,"9,0","11,0"
47,k_47,"19,19","28,0"
48,k_48,"5,12","35,23"
49,k_49,"7,13","7,21"
50,k_50,"4,30","47,37"
51,k_51,"47,37","17,33"
52,k_52,"35,10","22,39"
53,k_53,"5,42","26,28"
54,k_54,"42,1","5,42"
55,k_55,"42,1","28,0"
56,k_56,"4,30","18,14"
57,k_57,"4,30","34,9"
58,k_58,"19,19","43,22"
59,k_59,"5,28","17,33"
60,k_60,"5,42","18,14"
61,k_61,"35,10","18,14"
62,k_62,"5,28","9,0"
63,k_63,"34,9","26,28"
64,k_64,"4,30","26,28"
65,k_65,"4,30","5,42"
66,k_66,"2,45","7,21"
67,k_67,"7,21","2,45"
68,k_68,"5,28","11,0"
69,k_69,"5,42","22,39"
70,k_70,"47,37","35,10"
71,k_71,"35,23","26,47"
72,k_72,"5,28","11,0"
73,k_73,"7,13","2,45"
74,k_74,"28,0","18,14"
75,k_75,"42,1","22,39"
76,k_76,"38,27","34,9"
77,k_77,"2,45","47,29"
78,k_78,"47,29","4,30"
79,k_79,"9,0","5,12"
80,k_80,"28,0","5,12"
81,k_81,"4,30","5,42"
82,k_82,"26,28","9,0"
83,k_83,"9,0","47,37"
84,k_84,"7,13","47,37"
85,k_85,"38,27","22,39"
86,k_86,"27,44","4,30"
87,k_87,"38,27","35,23"
88,k_88,"9,0","28,0"
89,k_89,"17,33","35,10"
90,k_90,"43,22","4,30"
91,k_91,"34,9","42,1"
92,k_92,"17,33","5,42"
93,k_93,"5,28","26,28"
94,k_94,"26,47","35,10"
95,k_95,"17,33","2,45"
96,k_96,"22,39","35,23"
97,k_97,"7,13","47,37"
98,k_98,"4,30","7,13"
99,k_99,"47,29","28,0"
