,id,origin,destination
0,k_0,"30,24","28,25"
1,k_1,"43,26","19,45"
2,k_2,"32,20","10,27"
3,k_3,"37,25","28,21"
4,k_4,"41,30","43,26"
5,k_5,"25,17","41,26"
6,k_6,"41,26","37,25"
7,k_7,"40,8","37,25"
8,k_8,"47,3","25,17"
9,k_9,"40,2","41,26"
10,k_10,"28,25","30,24"
11,k_11,"6,25","27,14"
12,k_12,"40,8","10,27"
13,k_13,"28,25","30,24"
14,k_14,"27,14","44,26"
15,k_15,"30,42","32,20"
16,k_16,"25,17","10,27"
17,k_17,"28,21","40,2"
18,k_18,"41,30","41,37"
19,k_19,"47,3","41,26"
20,k_20,"28,25","44,26"
21,k_21,"40,8","25,17"
22,k_22,"30,24","6,25"
23,k_23,"40,8","25,17"
24,k_24,"21,29","43,7"
25,k_25,"28,21","10,27"
26,k_26,"37,25","28,21"
27,k_27,"32,20","21,29"
28,k_28,"28,21","27,14"
29,k_29,"25,17","43,26"
30,k_30,"19,45","6,25"
31,k_31,"30,42","9,2"
32,k_32,"41,37","19,45"
33,k_33,"30,24","6,25"
34,k_34,"10,27","44,26"
35,k_35,"47,3","28,25"
36,k_36,"26,39","27,14"
37,k_37,"21,29","43,7"
38,k_38,"10,27","44,26"
39,k_39,"30,42","27,14"
40,k_40,"25,17","41,37"
41,k_41,"40,2","41,26"
42,k_42,"47,3","28,25"
43,k_43,"43,26","27,14"
44,k_44,"6,25","47,3"
45,k_45,"30,24","41,26"
46,k_46,"41,30","30,24"
47,k_47,"37,25","10,27"
48,k_48,"10,27","44,26"
49,k_49,"27,14","9,2"
