,id,origin,destination,distance,arc_cap
0,"e_36,37,36,47","36,37","36,47",10,2
1,"e_36,37,31,34","36,37","31,34",8,1
2,"e_36,37,34,46","36,37","34,46",11,3
3,"e_35,21,31,26","35,21","31,26",9,3
4,"e_34,3,37,11","34,3","37,11",11,1
5,"e_34,3,25,3","34,3","25,3",9,3
6,"e_1,38,11,37","1,38","11,37",11,2
7,"e_1,38,10,37","1,38","10,37",10,1
8,"e_48,11,37,11","48,11","37,11",11,1
9,"e_9,34,11,37","9,34","11,37",5,3
10,"e_9,34,14,28","9,34","14,28",11,1
11,"e_9,34,15,33","9,34","15,33",7,3
12,"e_9,34,11,25","9,34","11,25",11,1
13,"e_9,34,10,37","9,34","10,37",4,2
14,"e_11,37,1,38","11,37","1,38",11,3
15,"e_11,37,9,34","11,37","9,34",5,1
16,"e_11,37,15,33","11,37","15,33",8,1
17,"e_11,37,10,37","11,37","10,37",1,3
18,"e_36,47,36,37","36,47","36,37",10,3
19,"e_36,47,34,46","36,47","34,46",3,2
20,"e_14,28,9,34","14,28","9,34",11,2
21,"e_14,28,21,25","14,28","21,25",10,2
22,"e_14,28,15,20","14,28","15,20",9,2
23,"e_14,28,15,33","14,28","15,33",6,1
24,"e_14,28,11,25","14,28","11,25",6,3
25,"e_28,13,37,11","28,13","37,11",11,1
26,"e_31,34,36,37","31,34","36,37",8,2
27,"e_31,34,31,26","31,34","31,26",8,3
28,"e_16,12,15,20","16,12","15,20",9,1
29,"e_16,12,9,15","16,12","9,15",10,3
30,"e_21,25,14,28","21,25","14,28",10,1
31,"e_21,25,15,20","21,25","15,20",11,1
32,"e_21,25,11,25","21,25","11,25",10,2
33,"e_21,25,31,26","21,25","31,26",11,2
34,"e_37,11,34,3","37,11","34,3",11,2
35,"e_37,11,48,11","37,11","48,11",11,1
36,"e_37,11,28,13","37,11","28,13",11,3
37,"e_15,20,14,28","15,20","14,28",9,1
38,"e_15,20,16,12","15,20","16,12",9,1
39,"e_15,20,21,25","15,20","21,25",11,3
40,"e_15,20,11,25","15,20","11,25",9,2
41,"e_15,20,9,15","15,20","9,15",11,2
42,"e_15,33,9,34","15,33","9,34",7,2
43,"e_15,33,11,37","15,33","11,37",8,3
44,"e_15,33,14,28","15,33","14,28",6,2
45,"e_15,33,10,37","15,33","10,37",9,3
46,"e_11,25,9,34","11,25","9,34",11,2
47,"e_11,25,14,28","11,25","14,28",6,3
48,"e_11,25,21,25","11,25","21,25",10,1
49,"e_11,25,15,20","11,25","15,20",9,2
50,"e_11,25,5,25","11,25","5,25",6,3
51,"e_10,37,1,38","10,37","1,38",10,2
52,"e_10,37,9,34","10,37","9,34",4,3
53,"e_10,37,11,37","10,37","11,37",1,1
54,"e_10,37,15,33","10,37","15,33",9,3
55,"e_9,15,16,12","9,15","16,12",10,2
56,"e_9,15,15,20","9,15","15,20",11,3
57,"e_31,26,35,21","31,26","35,21",9,1
58,"e_31,26,31,34","31,26","31,34",8,1
59,"e_31,26,21,25","31,26","21,25",11,3
60,"e_5,25,11,25","5,25","11,25",6,3
61,"e_34,46,36,37","34,46","36,37",11,1
62,"e_34,46,36,47","34,46","36,47",3,3
63,"e_25,3,34,3","25,3","34,3",9,1
64,"e_36,37,9,34","36,37","9,34",30,1
65,"e_35,21,36,37","35,21","36,37",17,1
66,"e_34,3,24,44","34,3","24,44",51,1
67,"e_1,38,21,25","1,38","21,25",33,3
68,"e_48,11,35,21","48,11","35,21",23,1
69,"e_9,34,1,38","9,34","1,38",12,2
70,"e_11,37,9,15","11,37","9,15",24,2
71,"e_36,47,31,26","36,47","31,26",26,2
72,"e_48,33,15,33","48,33","15,33",33,3
73,"e_14,28,5,25","14,28","5,25",12,2
74,"e_28,13,15,20","28,13","15,20",20,3
75,"e_31,34,28,13","31,34","28,13",24,2
76,"e_16,12,35,21","16,12","35,21",28,2
77,"e_21,25,1,38","21,25","1,38",33,3
78,"e_37,11,1,38","37,11","1,38",63,1
79,"e_15,20,37,11","15,20","37,11",31,2
80,"e_15,33,36,37","15,33","36,37",25,3
81,"e_11,25,36,37","11,25","36,37",37,3
82,"e_10,37,24,44","10,37","24,44",21,3
83,"e_9,15,14,28","9,15","14,28",18,1
84,"e_31,26,1,38","31,26","1,38",42,1
85,"e_24,44,11,37","24,44","11,37",20,3
86,"e_5,25,10,37","5,25","10,37",17,3
87,"e_34,46,5,25","34,46","5,25",50,2
88,"e_25,3,10,37","25,3","10,37",49,2
