,id,origin,destination,distance,hard_cap
0,e_0,v_13,v_16,16,3
1,e_1,v_9,v_16,10,1
2,e_2,v_12,v_2,10,1
3,e_3,v_10,v_5,16,3
4,e_4,v_17,v_11,18,3
5,e_5,v_10,v_13,28,3
6,e_6,v_7,v_3,10,1
7,e_7,v_9,v_18,15,2
8,e_8,v_20,v_3,8,3
9,e_9,v_14,v_7,12,2
10,e_10,v_6,v_16,10,3
11,e_11,v_13,v_20,26,2
12,e_12,v_16,v_7,11,1
13,e_13,v_14,v_8,6,2
14,e_14,v_16,v_12,14,1
15,e_15,v_13,v_19,26,2
16,e_16,v_7,v_1,15,3
17,e_17,v_13,v_9,25,2
18,e_18,v_15,v_2,2,3
19,e_19,v_18,v_10,18,3
20,e_20,v_3,v_11,15,2
21,e_21,v_9,v_2,24,3
22,e_22,v_5,v_4,12,3
23,e_23,v_20,v_16,11,1
24,e_24,v_19,v_8,8,1
25,e_25,v_2,v_9,24,2
26,e_26,v_12,v_6,24,1
27,e_27,v_8,v_16,10,3
28,e_28,v_16,v_3,4,1
29,e_29,v_14,v_17,10,1
30,e_30,v_10,v_17,12,2
31,e_31,v_12,v_15,11,2
32,e_32,v_7,v_18,9,2
33,e_33,v_9,v_11,20,2
34,e_34,v_14,v_1,5,1
35,e_35,v_8,v_1,8,1
36,e_36,v_4,v_17,3,3
37,e_37,v_19,v_18,17,3
38,e_38,v_15,v_14,20,1
39,e_39,v_18,v_9,15,1
40,e_40,v_16,v_15,16,3
41,e_41,v_3,v_19,8,3
42,e_42,v_16,v_10,12,1
43,e_43,v_4,v_19,11,1
44,e_44,v_20,v_5,14,3
45,e_45,v_3,v_4,12,3
46,e_46,v_6,v_1,1,3
47,e_47,v_16,v_11,13,3
48,e_48,v_8,v_15,19,2
49,e_49,v_19,v_6,1,1
50,e_50,v_10,v_1,2,1
51,e_51,v_14,v_4,12,2
52,e_52,v_17,v_10,12,1
53,e_53,v_8,v_13,22,3
54,e_54,v_15,v_13,5,3
55,e_55,v_7,v_5,3,3
56,e_56,v_12,v_11,12,2
57,e_57,v_7,v_17,8,3
58,e_58,v_15,v_20,25,1
59,e_59,v_13,v_7,17,1
