,id,origin,destination,distance,hard_cap
0,"e_16,11,14,13","16,11","14,13",4,3
1,"e_16,11,16,15","16,11","16,15",4,2
2,"e_14,13,16,11","14,13","16,11",4,1
3,"e_14,13,16,15","14,13","16,15",4,3
4,"e_20,6,18,5","20,6","18,5",3,1
5,"e_10,5,8,4","10,5","8,4",3,3
6,"e_2,4,0,4","2,4","0,4",2,1
7,"e_2,4,2,3","2,4","2,3",1,3
8,"e_4,20,3,19","4,20","3,19",2,1
9,"e_16,15,16,11","16,15","16,11",4,3
10,"e_16,15,14,13","16,15","14,13",4,2
11,"e_16,15,17,16","16,15","17,16",2,3
12,"e_19,18,17,16","19,18","17,16",4,1
13,"e_3,19,4,20","3,19","4,20",2,1
14,"e_17,16,16,15","17,16","16,15",2,1
15,"e_17,16,19,18","17,16","19,18",4,3
16,"e_8,4,10,5","8,4","10,5",3,3
17,"e_0,4,2,4","0,4","2,4",2,3
18,"e_0,4,2,3","0,4","2,3",3,3
19,"e_18,5,20,6","18,5","20,6",3,2
20,"e_2,3,2,4","2,3","2,4",1,3
21,"e_2,3,0,4","2,3","0,4",3,2
22,"e_15,21,2,3","15,21","2,3",31,2
23,"e_15,21,9,20","15,21","9,20",7,3
24,"e_16,11,17,16","16,11","17,16",6,1
25,"e_23,23,19,18","23,23","19,18",9,2
26,"e_14,13,9,20","14,13","9,20",12,2
27,"e_20,6,0,4","20,6","0,4",22,3
28,"e_20,6,19,18","20,6","19,18",13,3
29,"e_10,5,16,11","10,5","16,11",12,1
30,"e_10,5,2,4","10,5","2,4",9,2
31,"e_2,4,9,20","2,4","9,20",23,1
32,"e_2,4,16,15","2,4","16,15",25,2
33,"e_4,20,10,5","4,20","10,5",21,3
34,"e_16,15,15,21","16,15","15,21",7,1
35,"e_6,17,3,19","6,17","3,19",5,2
36,"e_9,20,16,11","9,20","16,11",16,2
37,"e_9,20,20,6","9,20","20,6",25,3
38,"e_19,18,16,11","19,18","16,11",10,3
39,"e_3,19,17,16","3,19","17,16",17,1
40,"e_17,16,9,20","17,16","9,20",12,3
41,"e_8,4,2,4","8,4","2,4",6,2
42,"e_0,4,17,16","0,4","17,16",29,1
43,"e_0,4,14,13","0,4","14,13",23,3
44,"e_18,5,16,15","18,5","16,15",12,3
45,"e_18,5,6,17","18,5","6,17",24,2
46,"e_3,24,23,23","3,24","23,23",21,1
47,"e_3,24,3,19","3,24","3,19",5,2
48,"e_23,2,20,6","23,2","20,6",7,1
49,"e_2,3,18,5","2,3","18,5",18,1
