,id,demand,origin,destination
0,k_0,1,"9,14","19,11"
1,k_1,1,"7,18","17,19"
2,k_2,1,"14,17","8,21"
3,k_3,1,"19,11","9,14"
4,k_4,1,"12,8","9,14"
5,k_5,1,"14,17","8,21"
6,k_6,1,"17,7","4,13"
7,k_7,1,"16,20","12,8"
8,k_8,1,"16,20","9,14"
9,k_9,1,"19,11","14,10"
10,k_10,1,"14,17","9,14"
11,k_11,1,"8,21","4,13"
12,k_12,1,"0,14","17,19"
13,k_13,1,"3,6","3,17"
14,k_14,1,"9,14","12,8"
15,k_15,1,"0,19","19,11"
16,k_16,1,"16,20","8,21"
17,k_17,1,"17,7","4,13"
18,k_18,1,"7,18","12,8"
19,k_19,1,"17,19","3,6"
20,k_20,1,"4,13","14,10"
21,k_21,1,"7,18","3,6"
22,k_22,1,"16,20","14,17"
23,k_23,1,"8,21","7,18"
24,k_24,1,"12,8","3,17"
25,k_25,1,"15,10","8,8"
26,k_26,1,"8,8","3,17"
27,k_27,1,"15,10","5,18"
28,k_28,1,"5,18","14,17"
29,k_29,1,"12,8","16,20"
30,k_30,1,"0,19","12,8"
31,k_31,1,"0,19","9,14"
32,k_32,1,"17,7","7,18"
33,k_33,1,"14,10","16,20"
34,k_34,1,"3,17","14,17"
35,k_35,1,"17,19","9,15"
36,k_36,1,"12,8","8,21"
37,k_37,1,"14,10","16,20"
38,k_38,1,"4,13","19,11"
39,k_39,1,"16,20","19,11"
40,k_40,1,"9,16","12,8"
41,k_41,1,"9,16","17,19"
42,k_42,1,"8,21","14,17"
43,k_43,1,"19,11","9,16"
44,k_44,1,"17,19","9,15"
45,k_45,1,"9,15","14,10"
46,k_46,1,"0,14","8,21"
47,k_47,1,"3,6","8,21"
48,k_48,1,"15,10","9,14"
49,k_49,1,"15,10","7,18"
50,k_50,1,"17,7","3,17"
51,k_51,1,"3,17","17,7"
52,k_52,1,"12,8","17,19"
53,k_53,1,"12,8","17,19"
54,k_54,1,"7,18","8,8"
55,k_55,1,"8,8","3,17"
56,k_56,1,"5,18","3,6"
57,k_57,1,"0,19","9,15"
58,k_58,1,"4,13","7,18"
59,k_59,1,"0,14","17,7"
60,k_60,1,"7,18","15,10"
61,k_61,1,"0,19","17,7"
62,k_62,1,"17,19","9,16"
63,k_63,1,"15,10","9,15"
64,k_64,1,"0,14","17,7"
65,k_65,1,"0,14","3,17"
66,k_66,1,"17,7","8,21"
67,k_67,1,"17,7","3,17"
68,k_68,1,"17,7","7,18"
69,k_69,1,"17,19","9,16"
70,k_70,1,"0,14","14,17"
