,id,origin,destination,distance,hard_cap
0,"e_14,24,15,24","14,24","15,24",1,1
1,"e_16,5,17,3","16,5","17,3",3,2
2,"e_16,5,16,2","16,5","16,2",3,1
3,"e_17,3,16,5","17,3","16,5",3,2
4,"e_17,3,16,2","17,3","16,2",2,1
5,"e_15,24,14,24","15,24","14,24",1,1
6,"e_6,7,5,7","6,7","5,7",1,2
7,"e_15,0,16,2","15,0","16,2",3,3
8,"e_16,2,16,5","16,2","16,5",3,1
9,"e_16,2,17,3","16,2","17,3",2,1
10,"e_16,2,15,0","16,2","15,0",3,2
11,"e_5,7,6,7","5,7","6,7",1,2
12,"e_11,10,24,23","11,10","24,23",26,3
13,"e_14,24,8,24","14,24","8,24",6,1
14,"e_16,5,20,9","16,5","20,9",8,1
15,"e_17,3,15,0","17,3","15,0",5,3
16,"e_7,18,16,11","7,18","16,11",16,3
17,"e_16,11,15,24","16,11","15,24",14,2
18,"e_15,24,24,23","15,24","24,23",10,3
19,"e_23,12,16,5","23,12","16,5",14,1
20,"e_6,7,23,12","6,7","23,12",22,2
21,"e_20,9,8,24","20,9","8,24",27,1
22,"e_15,0,13,21","15,0","13,21",23,1
23,"e_13,21,24,23","13,21","24,23",13,1
24,"e_3,10,24,4","3,10","24,4",27,2
25,"e_8,24,16,2","8,24","16,2",30,3
26,"e_5,12,16,5","5,12","16,5",18,1
27,"e_16,2,24,4","16,2","24,4",10,1
28,"e_18,19,17,3","18,19","17,3",17,1
29,"e_24,4,17,3","24,4","17,3",8,1
30,"e_24,23,6,7","24,23","6,7",34,3
31,"e_5,7,5,12","5,7","5,12",5,2
