,id,origin,destination,distance,hard_cap
0,"e_20,3,17,2","20,3","17,2",4,1
1,"e_4,4,6,5","4,4","6,5",3,1
2,"e_4,4,2,6","4,4","2,6",4,2
3,"e_12,11,12,7","12,11","12,7",4,1
4,"e_12,11,15,12","12,11","15,12",4,3
5,"e_12,11,10,11","12,11","10,11",2,3
6,"e_12,11,13,12","12,11","13,12",2,4
7,"e_6,5,4,4","6,5","4,4",3,2
8,"e_12,7,12,11","12,7","12,11",4,1
9,"e_0,5,0,7","0,5","0,7",2,2
10,"e_0,5,2,6","0,5","2,6",3,2
11,"e_15,12,12,11","15,12","12,11",4,3
12,"e_15,12,13,12","15,12","13,12",2,2
13,"e_15,12,15,9","15,12","15,9",3,4
14,"e_17,2,20,3","17,2","20,3",4,2
15,"e_10,11,12,11","10,11","12,11",2,1
16,"e_10,11,13,12","10,11","13,12",4,4
17,"e_0,7,0,5","0,7","0,5",2,3
18,"e_0,7,2,6","0,7","2,6",3,2
19,"e_13,12,12,11","13,12","12,11",2,3
20,"e_13,12,15,12","13,12","15,12",2,1
21,"e_13,12,10,11","13,12","10,11",4,2
22,"e_2,6,4,4","2,6","4,4",4,3
23,"e_2,6,0,5","2,6","0,5",3,4
24,"e_2,6,0,7","2,6","0,7",3,2
25,"e_15,9,15,12","15,9","15,12",3,2
26,"e_10,22,15,12","10,22","15,12",15,3
27,"e_20,3,12,11","20,3","12,11",16,3
28,"e_20,3,21,11","20,3","21,11",9,2
29,"e_17,22,4,4","17,22","4,4",31,2
30,"e_17,22,13,12","17,22","13,12",14,1
31,"e_23,16,15,12","23,16","15,12",12,4
32,"e_23,16,0,22","23,16","0,22",29,2
33,"e_4,4,12,7","4,4","12,7",11,2
34,"e_4,4,21,11","4,4","21,11",24,1
35,"e_12,11,15,9","12,11","15,9",5,4
36,"e_0,22,4,4","0,22","4,4",22,3
37,"e_6,5,15,12","6,5","15,12",16,1
38,"e_12,7,4,4","12,7","4,4",11,1
39,"e_0,5,13,1","0,5","13,1",17,4
40,"e_15,12,20,3","15,12","20,3",14,4
41,"e_15,12,0,5","15,12","0,5",22,2
42,"e_17,2,13,1","17,2","13,1",5,4
43,"e_5,14,0,5","5,14","0,5",14,3
44,"e_5,14,12,11","5,14","12,11",10,1
45,"e_10,11,17,2","10,11","17,2",16,4
46,"e_0,7,0,22","0,7","0,22",15,3
47,"e_13,12,2,6","13,12","2,6",17,2
48,"e_2,6,5,14","2,6","5,14",11,4
49,"e_15,9,0,7","15,9","0,7",17,3
50,"e_21,11,23,16","21,11","23,16",7,2
51,"e_13,1,12,11","13,1","12,11",11,1
