,id,origin,destination,distance,hard_cap
0,e_0,v_8,v_5,8,2
1,e_1,v_6,v_8,7,1
2,e_2,v_15,v_9,23,1
3,e_3,v_18,v_10,18,2
4,e_4,v_3,v_5,8,1
5,e_5,v_13,v_20,26,2
6,e_6,v_9,v_7,13,2
7,e_7,v_2,v_1,25,1
8,e_8,v_10,v_20,2,1
9,e_9,v_5,v_17,10,2
10,e_10,v_12,v_6,24,2
11,e_11,v_4,v_2,24,2
12,e_12,v_20,v_11,22,1
13,e_13,v_2,v_9,24,2
14,e_14,v_5,v_13,15,1
15,e_15,v_2,v_12,10,1
16,e_16,v_8,v_18,13,2
17,e_17,v_10,v_9,4,1
18,e_18,v_15,v_4,23,1
19,e_19,v_5,v_16,9,1
20,e_20,v_3,v_20,8,1
21,e_21,v_13,v_5,15,2
22,e_22,v_12,v_5,17,2
23,e_23,v_15,v_8,19,1
24,e_24,v_15,v_11,3,1
25,e_25,v_7,v_1,15,1
26,e_26,v_5,v_1,14,2
27,e_27,v_19,v_9,3,1
28,e_28,v_15,v_14,20,2
29,e_29,v_20,v_2,25,2
30,e_30,v_17,v_19,10,2
31,e_31,v_7,v_19,15,2
32,e_32,v_18,v_7,9,2
33,e_33,v_6,v_7,14,2
34,e_34,v_17,v_4,3,2
35,e_35,v_17,v_20,11,2
36,e_36,v_10,v_19,2,1
37,e_37,v_4,v_19,11,2
38,e_38,v_7,v_15,14,1
39,e_39,v_9,v_1,3,1
40,e_40,v_17,v_16,14,2
41,e_41,v_12,v_3,18,1
42,e_42,v_18,v_12,11,1
43,e_43,v_20,v_1,1,1
44,e_44,v_5,v_7,3,1
45,e_45,v_10,v_16,12,1
46,e_46,v_4,v_13,26,2
47,e_47,v_6,v_18,16,2
48,e_48,v_19,v_14,5,1
49,e_49,v_6,v_12,24,1
50,e_50,v_2,v_7,14,1
51,e_51,v_6,v_11,21,1
52,e_52,v_11,v_7,11,2
53,e_53,v_6,v_16,10,2
54,e_54,v_11,v_17,18,2
55,e_55,v_16,v_11,13,2
56,e_56,v_20,v_13,26,1
57,e_57,v_9,v_18,15,2
58,e_58,v_5,v_6,14,1
59,e_59,v_15,v_12,11,2
