,id,origin,destination,distance,hard_cap
0,"e_0,23,0,21","0,23","0,21",2,1
1,"e_20,7,21,7","20,7","21,7",1,1
2,"e_0,21,0,23","0,21","0,23",2,4
3,"e_14,19,13,18","14,19","13,18",2,3
4,"e_4,7,5,9","4,7","5,9",3,1
5,"e_7,14,7,13","7,14","7,13",1,1
6,"e_21,7,20,7","21,7","20,7",1,4
7,"e_10,13,7,13","10,13","7,13",3,2
8,"e_7,13,7,14","7,13","7,14",1,2
9,"e_7,13,10,13","7,13","10,13",3,2
10,"e_13,18,14,19","13,18","14,19",2,5
11,"e_5,9,4,7","5,9","4,7",3,4
12,"e_18,3,24,22","18,3","24,22",25,5
13,"e_12,15,1,1","12,15","1,1",25,5
14,"e_1,1,0,21","1,1","0,21",21,4
15,"e_0,23,5,9","0,23","5,9",19,1
16,"e_20,7,0,23","20,7","0,23",36,1
17,"e_8,22,0,23","8,22","0,23",9,5
18,"e_1,8,20,7","1,8","20,7",20,5
19,"e_0,21,13,18","0,21","13,18",16,1
20,"e_14,19,7,13","14,19","7,13",13,3
21,"e_4,7,23,11","4,7","23,11",23,2
22,"e_7,14,1,8","7,14","1,8",12,2
23,"e_21,7,24,4","21,7","24,4",6,3
24,"e_24,4,18,3","24,4","18,3",7,1
25,"e_24,22,1,8","24,22","1,8",37,2
26,"e_23,11,21,7","23,11","21,7",6,4
27,"e_10,13,1,1","10,13","1,1",21,5
28,"e_11,8,0,23","11,8","0,23",26,1
29,"e_7,13,8,22","7,13","8,22",10,3
30,"e_13,18,12,15","13,18","12,15",4,4
31,"e_5,9,0,23","5,9","0,23",19,2
