,id,origin,destination,distance,hard_cap
0,"e_16,24,18,24","16,24","18,24",2,2
1,"e_23,24,22,21","23,24","22,21",4,5
2,"e_23,24,23,21","23,24","23,21",3,4
3,"e_17,15,20,14","17,15","20,14",4,1
4,"e_23,12,21,10","23,12","21,10",4,2
5,"e_23,12,24,9","23,12","24,9",4,1
6,"e_9,8,9,9","9,8","9,9",1,4
7,"e_22,21,23,24","22,21","23,24",4,1
8,"e_22,21,23,21","22,21","23,21",1,2
9,"e_9,9,9,8","9,9","9,8",1,3
10,"e_7,15,7,18","7,15","7,18",3,2
11,"e_23,21,23,24","23,21","23,24",3,5
12,"e_23,21,22,21","23,21","22,21",1,5
13,"e_21,10,23,12","21,10","23,12",4,2
14,"e_21,10,24,9","21,10","24,9",4,3
15,"e_7,18,7,15","7,18","7,15",3,4
16,"e_18,24,16,24","18,24","16,24",2,3
17,"e_20,14,17,15","20,14","17,15",4,5
18,"e_24,9,23,12","24,9","23,12",4,1
19,"e_24,9,21,10","24,9","21,10",4,4
20,"e_6,24,18,24","6,24","18,24",12,2
21,"e_12,17,7,18","12,17","7,18",6,5
22,"e_16,24,6,24","16,24","6,24",10,4
23,"e_4,5,6,24","4,5","6,24",21,2
24,"e_23,24,4,5","23,24","4,5",38,3
25,"e_17,15,9,8","17,15","9,8",15,4
26,"e_12,11,12,17","12,11","12,17",6,4
27,"e_23,12,7,15","23,12","7,15",19,4
28,"e_9,8,17,15","9,8","17,15",15,2
29,"e_22,21,23,12","22,21","23,12",10,3
30,"e_9,9,12,11","9,9","12,11",5,5
31,"e_7,15,6,24","7,15","6,24",10,3
32,"e_23,21,23,12","23,21","23,12",9,1
33,"e_0,4,1,21","0,4","1,21",18,4
34,"e_21,10,22,21","21,10","22,21",12,1
35,"e_7,18,9,8","7,18","9,8",12,3
36,"e_18,24,7,18","18,24","7,18",17,3
37,"e_20,14,18,24","20,14","18,24",12,3
38,"e_1,21,24,9","1,21","24,9",35,2
39,"e_24,9,16,24","24,9","16,24",23,2
