,id,origin,destination,distance,hard_cap
0,e_0,v_20,v_18,17,3
1,e_1,v_16,v_9,10,2
2,e_2,v_17,v_12,26,2
3,e_3,v_1,v_2,25,1
4,e_4,v_10,v_16,12,1
5,e_5,v_16,v_17,14,3
6,e_6,v_11,v_8,16,1
7,e_7,v_4,v_12,28,2
8,e_8,v_1,v_15,25,3
9,e_9,v_10,v_7,17,1
10,e_10,v_3,v_6,7,1
11,e_11,v_3,v_16,4,2
12,e_12,v_20,v_9,3,3
13,e_13,v_6,v_19,1,1
14,e_14,v_14,v_10,7,2
15,e_15,v_16,v_11,13,2
16,e_16,v_13,v_20,26,3
17,e_17,v_11,v_9,20,3
18,e_18,v_5,v_13,15,2
19,e_19,v_11,v_1,22,1
20,e_20,v_5,v_7,3,1
21,e_21,v_16,v_18,7,2
22,e_22,v_8,v_5,8,3
23,e_23,v_9,v_18,15,2
24,e_24,v_17,v_8,5,2
25,e_25,v_11,v_3,15,2
26,e_26,v_2,v_7,14,3
27,e_27,v_7,v_15,14,1
28,e_28,v_10,v_18,18,2
29,e_29,v_5,v_14,10,3
30,e_30,v_19,v_3,8,3
31,e_31,v_19,v_1,1,2
32,e_32,v_13,v_19,26,3
33,e_33,v_15,v_18,9,1
34,e_34,v_17,v_9,9,2
35,e_35,v_10,v_9,4,2
36,e_36,v_8,v_13,22,2
37,e_37,v_10,v_4,13,1
38,e_38,v_13,v_11,7,1
39,e_39,v_16,v_12,14,3
40,e_40,v_7,v_19,15,1
41,e_41,v_17,v_16,14,1
42,e_42,v_3,v_18,10,1
43,e_43,v_12,v_15,11,3
44,e_44,v_17,v_14,10,1
45,e_45,v_13,v_10,28,1
46,e_46,v_8,v_6,7,1
47,e_47,v_15,v_3,18,2
48,e_48,v_16,v_3,4,2
49,e_49,v_4,v_11,20,1
50,e_50,v_20,v_2,25,2
51,e_51,v_15,v_10,26,2
52,e_52,v_11,v_16,13,1
53,e_53,v_3,v_13,19,2
54,e_54,v_2,v_14,20,1
55,e_55,v_3,v_12,18,1
56,e_56,v_14,v_16,6,3
57,e_57,v_5,v_6,14,2
58,e_58,v_7,v_11,11,3
59,e_59,v_15,v_4,23,3
